species,n,high_n,low_n,low_rate,low_risk_n,medium_risk_n,high_risk_n,high_risk_rate,mean_p_low_accuracy,median_p_low_accuracy,status_mode,median_year,median_distance_m,median_strahler,candidate_score,risk_balance
Pacifastacus leniusculus,6551,5432,1119,0.17081361624179514,2018,3054,1479,0.22576705846435657,0.3056917010362182,0.2058342767977108,Alien,2014.0,55.57525367,3.0,5,0.7329038652130823
Astacus astacus,5548,3016,2532,0.4563806777217015,1507,1355,2686,0.4841384282624369,0.4896353585924557,0.46566677645325644,Native,2014.0,67.76894111,2.0,5,0.5610573343261355
Pontastacus leptodactylus,3033,2127,906,0.2987141444114738,204,1603,1226,0.4042202439828553,0.4697533652317875,0.440519893450817,Introduced,2012.0,78.14078873,2.0,5,0.16639477977161501
Faxonius limosus,8176,5903,2273,0.2780088062622309,477,3982,3717,0.4546232876712329,0.5009750719453315,0.46848048507481505,Alien,2014.0,61.99365071,2.0,5,0.12832929782082325
Procambarus acutus,2731,2728,3,0.0010984987184181618,1717,914,100,0.03661662394727206,0.12294265938311484,0.067607303218978,Native,1995.0,53.81534914,3.0,4,0.05824111822947001
Procambarus clarkii,39725,18449,21276,0.5355821271239773,868,14523,24334,0.6125613593455003,0.5922262287018913,0.6638791208682517,Alien,2018.0,68.62341065,2.0,5,0.03567025560943536
