species,n,high_n,low_n,low_rate,low_risk_n,medium_risk_n,high_risk_n,high_risk_rate,mean_p_low_accuracy,median_p_low_accuracy,status_mode,median_year,median_distance_m,median_strahler,candidate_score
Cambarus sciotensis,335,335,0,0.0,325,10,0,0.0,0.03287871336106699,0.0265212299397861,Native,1986.0,40.0876922,4.0,2
Faxonius punctimanus,302,302,0,0.0,299,3,0,0.0,0.03005029843973726,0.02416400843015775,Native,1986.0,47.224893625,4.0,2
Lacunicambarus thomai,297,297,0,0.0,269,28,0,0.0,0.05285376671977055,0.0381978715101643,Native,2007.0,58.6010911,2.0,2
Procambarus troglodytes,295,294,1,0.003389830508474576,226,69,0,0.0,0.0768259983576445,0.0565052356776884,Native,1983.0,79.72688754,2.0,2
Cambarus tenebrosus,289,289,0,0.0,269,20,0,0.0,0.03679683540581339,0.0256228960476134,Native,1990.0,56.38176786,3.0,2
Procambarus gracilis,287,287,0,0.0,216,71,0,0.0,0.06905505222709069,0.0464144698173754,Native,1981.0,69.58363352,2.0,2
Procambarus versutus,284,284,0,0.0,247,37,0,0.0,0.05777136427615199,0.04398661700019125,Native,1978.0,46.36835719,3.0,2
Cambarus dubius,282,282,0,0.0,261,21,0,0.0,0.043619884886160955,0.032296382037923343,Native,2011.0,58.27044372,2.0,2
Faxonius ozarkae,281,281,0,0.0,249,32,0,0.0,0.04749353603812506,0.0315422559564575,Native,2004.0,48.84458451,5.0,2
Cambarus theepiensis,257,257,0,0.0,253,4,0,0.0,0.01743167335010525,0.0123042069733388,Native,2011.0,34.48690322,4.0,2
Cambarus longulus,249,249,0,0.0,188,60,1,0.004016064257028112,0.07913067070585655,0.0533637991494541,Native,1999.0,39.25710722,4.0,2
Faxonius placidus,236,236,0,0.0,223,13,0,0.0,0.03412327512316742,0.02151016052519035,Native,1995.0,48.476736385,4.0,2
Faxonius compressus,204,204,0,0.0,203,1,0,0.0,0.019435783721939628,0.014674921017856,Native,1995.0,47.07145536,4.0,2
Cambarus longirostris,201,201,0,0.0,196,5,0,0.0,0.026274080877889117,0.0193161382204261,Native,2001.0,39.06166522,4.0,2
Procambarus blandingii,197,197,0,0.0,126,71,0,0.0,0.0960588835934754,0.0698709094651993,Native,1983.0,55.36373681,3.0,2
