feature,importance_all,importance_remove_high_risk,importance_weighted
l_CLI1,0.04157434840083436,0.026526855784042673,0.038334575671338876
l_CLI10,0.0060693816392346335,0.012008363532876057,0.010619195939920428
l_CLI11,0.007292610344776081,0.012897580951922685,0.012203442330005773
l_CLI12,0.00022468770118097995,0.00015784883780493397,0.00034918773043950173
l_CLI13,0.015110303133772963,0.01635854096489048,0.012553709260550949
l_CLI14,0.022779006269016147,0.017656896265449543,0.014927360825676602
l_CLI15,0.0177409457589071,0.01592039978967875,0.014634202549891836
l_CLI16,0.00028083585828281586,0.00022206903808508807,0.00040497391790316324
l_CLI17,0.03283460783074364,0.017202868174380128,0.023654040800739993
l_CLI18,0.022979663703536768,0.01003512442079238,0.014237926094090362
l_CLI19,0.025206489078739538,0.015964567889458596,0.01926248686092806
l_CLI2,0.042960991544052564,0.031882419500614406,0.0397225149147422
l_CLI20,0.0002829892419604325,0.00034062303807217163,0.00034584869038805895
l_CLI21,0.030555739443205436,0.04282619924805143,0.03857301825845405
l_CLI22,0.029187229704991137,0.0456320242149473,0.03894557173748586
l_CLI23,0.023682069188260796,0.047197990030971956,0.034134171029350686
l_CLI24,0.00022773795211337866,0.000347548574530999,0.0003151239812935963
l_CLI25,0.01581993155152099,0.01196862530507393,0.012919491741495289
l_CLI26,0.013542167950729458,0.012739331133989965,0.013509586156903513
l_CLI27,0.020357422578653386,0.017717782652996044,0.016865600300157872
l_CLI28,0.0002643229487724268,0.00020946691556265383,0.00032107695666982257
l_CLI29,0.004910163664444334,0.00313267301122552,0.002991749801800092
l_CLI3,0.03910536322957193,0.021792468036932574,0.030029913713810433
l_CLI30,0.005933753421467831,0.003349817518792237,0.0023234531400557657
l_CLI31,0.006784593003095084,0.0032567185251714727,0.003980098942856524
l_CLI32,0.0002396615273878375,0.00021567149801931184,0.00031865047189783447
l_CLI33,0.0221286608642845,0.018265120127876483,0.021415333601621712
l_CLI34,0.020859755489442362,0.023189833201873372,0.025361858829443126
l_CLI35,0.023183876126188933,0.016139462947001835,0.01939554597582022
l_CLI36,0.0002835396681904621,0.00029451758969169397,0.0002845375807690415
l_CLI37,0.02150706942807382,0.010865562023962957,0.015833411047709967
l_CLI38,0.02806346333994292,0.01523325703158628,0.020797294212050992
l_CLI39,0.03358076505181177,0.01479454999621386,0.01723035878423203
l_CLI4,0.0002789282035707993,0.00026688171706368155,0.0003122590440650272
l_CLI40,0.00030146255464611686,0.00027515621689216165,0.0003596084071902879
l_CLI41,0.0388601590323547,0.034825592470696304,0.0387157718180108
l_CLI42,0.04193907587058617,0.03775134460843391,0.040317798208206475
l_CLI43,0.03879001399761538,0.03745637477853608,0.0390556349844091
l_CLI44,0.00021569613495608315,0.00021866569343786645,0.00035296173928202877
l_CLI45,0.0021625509495839176,0.010344670576919238,0.0063138329693626484
l_CLI46,0.002415694150781739,0.011995700039715737,0.009779823292863908
l_CLI47,0.0034457196295185157,0.013510299100624526,0.008716155403000619
l_CLI48,0.000456825624194839,0.00035651446021917364,0.0004527704096354776
l_CLI49,0.0021780978874343117,0.0047398581283042375,0.004524669052314339
l_CLI5,0.00846763900330124,0.0038566126425203773,0.005430014018160045
l_CLI50,0.0025939449794459024,0.004718199009892755,0.0033732580064833886
l_CLI51,0.0023494608485765942,0.004986675864997879,0.0052231738414560925
l_CLI52,0.0003789796542905681,0.0003057077626721814,0.0003475963082341021
l_CLI53,0.0026489079825536355,0.011787966745522752,0.010407808459363047
l_CLI54,0.0024638381929774976,0.00967009077083608,0.00746467773677524
l_CLI55,0.0027613213859312724,0.011056634484748605,0.008738910549113557
l_CLI56,0.00046216195207564054,0.00029108579409079416,0.0004388397114308312
l_CLI57,0.002922215314916744,0.005594594269502099,0.004468448287495494
l_CLI58,0.0028765338829059477,0.004481243062751016,0.004893831118499562
l_CLI59,0.0028056797339148076,0.004478704989431455,0.0034805008863287635
l_CLI6,0.004513422849308985,0.0034772691947264098,0.0030844038251137563
l_CLI60,0.000367963832435167,0.00029602731609935007,0.0003598423981559606
l_CLI61,0.0027840577256856265,0.006013536157489687,0.005214577749862712
l_CLI62,0.002181806741960622,0.0059982272255046905,0.005151320130172377
l_CLI63,0.002218809240106689,0.008736784290110516,0.007034960072343228
l_CLI64,0.00034979303661935814,0.0003333307256037632,0.0003825924436171415
l_CLI65,0.0023813139853182054,0.015332984732805439,0.011669917875122586
l_CLI66,0.002542168931013515,0.014561199110503822,0.009756371426106279
l_CLI67,0.0022616837411351958,0.013570036173742753,0.010950103964971503
l_CLI68,0.00044349942666789717,0.00023367351404532296,0.0004455099311873898
l_CLI69,0.0027298762089869233,0.0050777596848728375,0.0033843431082641955
l_CLI7,0.006486969532108771,0.003222322780212404,0.004720679335340526
l_CLI70,0.0026921783523805327,0.004558737534959453,0.002909483545006112
l_CLI71,0.0026538382009650844,0.004947278283745651,0.0030101385439172054
l_CLI72,0.0003304099694520249,0.00033776089301540044,0.00040586527232019156
l_CLI73,0.00413235220790578,0.022898455998108688,0.013889984162081809
l_CLI74,0.0035821833004844317,0.02185568601995481,0.016318557104433
l_CLI75,0.0026698646711131556,0.0166201654429715,0.01439527041342115
l_CLI76,0.0004019288097316643,0.0002747935599848135,0.0004188608682720907
l_CLI8,0.00010075677268043652,8.300170096460404e-05,0.00016660822440650754
l_CLI9,0.006996308646414968,0.0075286769433830295,0.008216989931418093
l_LAC1,0.0007811007683087711,0.00034540498047138675,0.0004836139494545601
l_LAC10,0.00010201433253162935,6.303416065806325e-05,0.00020001709379716012
l_LAC11,1.8538954253945452e-19,1.6713781370835706e-06,0.0
l_LAC12,3.3832881519312418e-06,5.249466733024849e-06,5.978280074998279e-07
l_LAC13,0.00021065480301104284,4.9308590688547455e-05,0.00014365292761102212
l_LAC14,0.0,0.0,0.0
l_LAC15,1.957799342812634e-07,6.733240878815356e-07,1.1976612375150275e-06
