Status,n,low_rate,low_n
Alien,51604,0.4624253933803581,23863
Type locality,44,0.3181818181818182,14
Introduced,3406,0.22959483264826777,782
Native,60118,0.11620479723211018,6986
,19,0.05263157894736842,1
