spearman,pearson,mean_abs_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,top10_jaccard,top05_jaccard,species,base,alt,ipw_ess,ipw_str_ess
0.9481415796109152,0.9075636047005589,0.033222177931710006,0.0037350855268675747,0.08649157110249082,0.21059367654478894,0.6687526074259491,0.6220600162206001,Pacifastacus leniusculus,all,filter,0.8796922735214504,0.8677143144858924
0.9674017947242336,0.9425704685650055,0.032580863999580316,0.004060173445185381,0.10394503621097191,0.1845087713926519,0.7174753112924002,0.669449081803005,Pacifastacus leniusculus,all,trust,0.8796922735214504,0.8677143144858924
0.9458552601873622,0.9009525855664741,0.0390689782847736,0.0049611956754684215,0.1232703302691514,0.21439084060940544,0.6576875259013676,0.6012810248198559,Pacifastacus leniusculus,all,ipw,0.8796922735214504,0.8677143144858924
0.9435611202898712,0.9013501639924295,0.03909039458845004,0.0053483534919829415,0.12260943942564574,0.21229413805640146,0.6556291390728477,0.6025641025641025,Pacifastacus leniusculus,all,ipw_str,0.8796922735214504,0.8677143144858924
0.9741253665310622,0.988787151939781,0.01590769225658562,0.003834830229703083,0.0436015228050739,0.08020132185144019,0.8665422305179654,0.8198362147406734,Pacifastacus leniusculus,filter,ipw,0.8796922735214504,0.8677143144858924
0.9516413766661382,0.9531413964533756,0.02921517000379881,0.0052929373359953714,0.08576210501291379,0.14815611561610315,0.7513134851138353,0.6977928692699491,Pacifastacus leniusculus,trust,ipw,0.8796922735214504,0.8677143144858924
0.9766890955201418,0.9987478480947661,0.006305838096126536,0.003141382528593268,0.016988579192121028,0.023501240073841648,0.9656019656019657,0.9436345966958212,Pacifastacus leniusculus,ipw,ipw_str,0.8796922735214504,0.8677143144858924
0.8755474352330078,0.732775029881926,0.046856566345597095,0.003276374195737678,0.09955333688898915,0.3396852283463327,0.48093298778230287,0.30039011703511054,Astacus astacus,all,filter,0.8484632857927099,0.8484632857927099
0.9309556102192653,0.8963604599957123,0.03269477376771074,0.002864808514106555,0.06500551632090326,0.23295678624020122,0.7040034071550255,0.41743444365698085,Astacus astacus,all,trust,0.8484632857927099,0.8484632857927099
0.8760165487649162,0.7531529814639548,0.0452062479551478,0.0033843120132707495,0.09445771073032562,0.3131221141916206,0.49868864743349567,0.32625994694960214,Astacus astacus,all,ipw,0.8484632857927099,0.8484632857927099
0.8760165487649162,0.7531529814639548,0.0452062479551478,0.0033843120132707495,0.09445771073032562,0.3131221141916206,0.49868864743349567,0.32625994694960214,Astacus astacus,all,ipw_str,0.8484632857927099,0.8484632857927099
0.9239563518060865,0.9936830923069895,0.007305765118298474,0.0024996191574352504,0.015144648877315248,0.03070478267923494,0.9203072491598656,0.8903591682419659,Astacus astacus,filter,ipw,0.8484632857927099,0.8484632857927099
0.8967512657156689,0.9448154401135195,0.019198499644656742,0.0030815386280819515,0.05449822415572094,0.11399080863411032,0.6910397295012679,0.7559262510974539,Astacus astacus,trust,ipw,0.8484632857927099,0.8484632857927099
0.9999999999999999,0.9999999999999998,2.4294910701272433e-18,0.0,0.0,0.0,1.0,1.0,Astacus astacus,ipw,ipw_str,0.8484632857927099,0.8484632857927099
0.9538078548841131,0.9358614446066789,0.03220969698447515,0.0045598970644742595,0.08891330293230065,0.15374220727607293,0.7278617710583153,0.639344262295082,Faxonius limosus,all,filter,0.746788586223094,0.7480609436146928
0.9650678579265758,0.9603307515443957,0.029536947348986372,0.005018749566472835,0.08803023000184666,0.13917731917103018,0.7723649247121346,0.6583747927031509,Faxonius limosus,all,trust,0.746788586223094,0.7480609436146928
0.9427051428310567,0.9085338164125379,0.044963328975949346,0.005724318803671343,0.15366558396290195,0.2201347366134188,0.6366612111292962,0.5822784810126582,Faxonius limosus,all,ipw,0.746788586223094,0.7480609436146928
0.9442197390993373,0.9089138080442838,0.04481560892902865,0.005681160843871975,0.1528891972333879,0.22128833758444272,0.6410992616899097,0.580568720379147,Faxonius limosus,all,ipw_str,0.746788586223094,0.7480609436146928
0.9709135495305165,0.9804719385913045,0.021384198484759337,0.0044826672970496185,0.06711454438317034,0.11005521890881077,0.8042399639152007,0.7683465959328029,Faxonius limosus,filter,ipw,0.746788586223094,0.7480609436146928
0.9396914748028481,0.9244117256258292,0.04168327389908453,0.00656685069131999,0.13939685879839878,0.21829439919894306,0.6737766624843162,0.5822784810126582,Faxonius limosus,trust,ipw,0.746788586223094,0.7480609436146928
0.9755108897226574,0.999006665456807,0.00635290090681849,0.003222142109212103,0.016827156270528516,0.02352042472565517,0.9593535749265426,0.9714285714285714,Faxonius limosus,ipw,ipw_str,0.746788586223094,0.7480609436146928
0.9540700453929625,0.8893289205940336,0.0366750028976899,0.0067238923815491885,0.10692669117270445,0.1824181738117373,0.5570260801868431,0.5714285714285714,Pontastacus leptodactylus,all,filter,0.6385061260541635,0.570405789468457
0.9619849711517169,0.9093704673049441,0.03643287339267404,0.007281603256459179,0.1086848045475315,0.1810099023720062,0.5797788309636651,0.596169193934557,Pontastacus leptodactylus,all,trust,0.6385061260541635,0.570405789468457
0.9617696915611559,0.9119929034676779,0.033531041437816364,0.007153204141365055,0.0968935078848694,0.15188124506602635,0.5754233950374164,0.5785319652722968,Pontastacus leptodactylus,all,ipw,0.6385061260541635,0.570405789468457
0.9621366173074611,0.9111053524122839,0.033667160467369416,0.007068982435866948,0.09848632771463649,0.15288970535067786,0.5779092702169625,0.5748031496062992,Pontastacus leptodactylus,all,ipw_str,0.6385061260541635,0.570405789468457
0.9699193391459777,0.9692046890422913,0.020560012621832904,0.0058548860319295355,0.06312135692035317,0.09380124489939398,0.7613386173491854,0.7408695652173913,Pontastacus leptodactylus,filter,ipw,0.6385061260541635,0.570405789468457
0.9561167372189118,0.9327704192644396,0.02882561232232246,0.007191731760725312,0.08728457100654916,0.131553262733587,0.6420361247947455,0.6339869281045751,Pontastacus leptodactylus,trust,ipw,0.6385061260541635,0.570405789468457
0.9792011490058683,0.9963152947870786,0.008439169172748468,0.00440609415373051,0.02227455072022754,0.030619016501757256,0.912960306073649,0.9029495718363464,Pontastacus leptodactylus,ipw,ipw_str,0.6385061260541635,0.570405789468457
0.9211546276865672,0.930177405824997,0.03383674264142289,0.015983002291057175,0.08357133813017313,0.1263113595068111,0.6417726713171933,0.6220600162206001,Procambarus clarkii,all,filter,0.6296774328448276,0.6260543654798886
0.9682196713143182,0.9754073093181491,0.021595117974307524,0.010421844671090554,0.05856573244409281,0.08301491724136105,0.8042399639152007,0.7406440382941688,Procambarus clarkii,all,trust,0.6296774328448276,0.6260543654798886
0.9220319074266033,0.9463944000429729,0.03313770686880873,0.016693479568919912,0.07719544202289146,0.12183640980130254,0.7286084701815039,0.701530612244898,Procambarus clarkii,all,ipw,0.6296774328448276,0.6260543654798886
0.9221859007389527,0.9463384489850234,0.03328288966550334,0.01658079820963753,0.07789668093133967,0.12289655101708191,0.7316017316017316,0.6977928692699491,Procambarus clarkii,all,ipw_str,0.6296774328448276,0.6260543654798886
0.9709733765853903,0.9757452958017767,0.018963516611229993,0.005958910649199095,0.05634253011923013,0.08339917268620202,0.8030644434429923,0.7676678445229682,Procambarus clarkii,filter,ipw,0.6296774328448276,0.6260543654798886
0.8826317343554072,0.9307068148529664,0.04337133317873836,0.02369329337678089,0.10847282539026469,0.1513306839281452,0.695633743111488,0.6605809128630705,Procambarus clarkii,trust,ipw,0.6296774328448276,0.6260543654798886
0.9883584926901855,0.9983053233241042,0.005365071169862078,0.0028960479689140294,0.013783950184408126,0.01912613995409454,0.9474196689386563,0.9333333333333333,Procambarus clarkii,ipw,ipw_str,0.6296774328448276,0.6260543654798886
0.9146761485068381,0.840961264857634,0.029564314584158046,0.0026930546486252467,0.053768589143351884,0.12078549865702112,0.5772870662460567,0.49142431021625654,Austropotamobius pallipes,all,filter,0.8435574972798685,0.8372378572974012
0.931943157212593,0.9143350602696512,0.024815411764812213,0.002593547004220426,0.05354606989004207,0.11839311723898074,0.7174753112924002,0.563721657544957,Austropotamobius pallipes,all,trust,0.8435574972798685,0.8372378572974012
0.9012256916079375,0.8259380331084321,0.03495650980169177,0.0028864430089088604,0.08266957634926814,0.18391148775585806,0.5655577299412916,0.4749262536873156,Austropotamobius pallipes,all,ipw,0.8435574972798685,0.8372378572974012
0.9011676529664688,0.8267779604213776,0.03494581772600599,0.0029215260173131186,0.08151394693861379,0.18865414415754067,0.5667841754798276,0.47383935151068535,Austropotamobius pallipes,all,ipw_str,0.8435574972798685,0.8372378572974012
0.9208759834176434,0.9839517390438753,0.012073748428338816,0.002205457658322904,0.028195911281917792,0.06494343250299194,0.8441678192715537,0.8214936247723132,Austropotamobius pallipes,filter,ipw,0.8435574972798685,0.8372378572974012
0.9037218149894058,0.9312827748845739,0.024014565679257464,0.0027728032374022132,0.06517174671763892,0.14431189873245523,0.6528925619834711,0.6778523489932886,Austropotamobius pallipes,trust,ipw,0.8435574972798685,0.8372378572974012
0.9198102604680205,0.9987659015140354,0.004855979441486682,0.0019636605120560446,0.01358981742177956,0.021107030351047176,0.9464720194647201,0.9607843137254902,Austropotamobius pallipes,ipw,ipw_str,0.8435574972798685,0.8372378572974012
0.8875627033927675,0.7990056840637567,0.03331090738412518,0.0034310297056288795,0.04846310487465186,0.17719608882186197,0.5972055888223553,0.47601476014760147,Austropotamobius torrentium,all,filter,0.41648002088023983,0.4144308857450335
0.91854409827198,0.9065500440687433,0.02510039254753657,0.0029171739226514335,0.036264725903905226,0.13751901042218867,0.8140589569160998,0.6353229762878169,Austropotamobius torrentium,all,trust,0.41648002088023983,0.4144308857450335
0.8968506838384916,0.8382492970021557,0.02953343251892682,0.0032074528213099267,0.04262756726570377,0.15151942523868234,0.6474464579901154,0.5384615384615384,Austropotamobius torrentium,all,ipw,0.41648002088023983,0.4144308857450335
0.8957952276231209,0.8404958234202273,0.029391519979036194,0.0032724361738509147,0.04096705903058385,0.15361636558564082,0.6611295681063123,0.5384615384615384,Austropotamobius torrentium,all,ipw_str,0.41648002088023983,0.4144308857450335
0.9195102051081752,0.9751787507191895,0.0091853860293788,0.002738323199970417,0.01724231093617616,0.034805149938349086,0.807953004970628,0.8034265103697025,Austropotamobius torrentium,filter,ipw,0.41648002088023983,0.4144308857450335
0.9032506559874457,0.9640471692885775,0.012627271432109339,0.003018459124085986,0.026261369679401212,0.059583944970255875,0.7474879860200961,0.7346053772766695,Austropotamobius torrentium,trust,ipw,0.41648002088023983,0.4144308857450335
