species,strategy,train_presences,train_background,test_auc,test_ap,mean_prediction_background,p90_prediction_background,p95_prediction_background
Pacifastacus leniusculus,all,4913,15000,0.9698997557997557,0.9075947523954964,0.12122325725344872,0.44364074320532637,0.6614611703734273
Pacifastacus leniusculus,remove_high_risk,3799,15000,0.9438282051282052,0.8721138359679207,0.0813365449725448,0.2620723276477265,0.5291828789968991
Pacifastacus leniusculus,weighted,4913,15000,0.9613595848595848,0.8928765831912837,0.09239031854655891,0.30406345869713686,0.5354287293910379
Astacus astacus,all,4161,15000,0.9805930064888247,0.9262736123266982,0.0908330545322435,0.3520503039847295,0.6665971628125315
Astacus astacus,remove_high_risk,2104,15000,0.9279628695025235,0.826925785933645,0.0492242181543223,0.09841402376554355,0.3060324527607798
Astacus astacus,weighted,4161,15000,0.9737510454217736,0.9049669203315059,0.06477667104729852,0.2160584385586362,0.40290932444018873
