risk_tertile,n,actual_low_rate,mean_predicted_risk,median_predicted_risk,alien_rate,native_rate,median_year,median_distance_m,median_strahler
low risk,38397,0.0062765320207307865,0.03810681960067177,0.03375073308423192,0.10034638122770008,0.8883506523947183,2000.0,48.4750867,4.0
medium risk,38397,0.10690939396307003,0.27518463708077845,0.26334709464750394,0.4743599760397948,0.4754017240930281,2014.0,56.45539479,3.0
high risk,38397,0.7109930463317446,0.7868794217033871,0.808133325497961,0.7692528062088184,0.20194286011928014,2016.0,79.0732815,1.0
