comparison,n_species,top10_jaccard_mean,top10_jaccard_min,top10_jaccard_max,top05_jaccard_mean,mean_abs_diff_mean,p95_abs_diff_mean
all_vs_remove_high_risk,7,0.5072504653771592,0.4102925625660909,0.6155088852988692,0.4335344579017317,0.04709066945017293,0.25839760085872343
all_vs_weighted,7,0.7372203204619926,0.6025641025641025,0.8340210912425493,0.6302741844920303,0.02860175650643043,0.15086412825277096
