spearman,pearson,mean_abs_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,top10_jaccard,top05_jaccard,species,species_short,comparison
0.9112188978052167,0.8765842446613139,0.04618251884188515,0.005448486045201824,0.15105670092772022,0.27424299467837865,0.6032064128256514,0.597444089456869,Pacifastacus leniusculus,P. leniusculus,all_vs_remove_high_risk
0.9670767229686306,0.9452862938414813,0.03274204050442917,0.004039951539061391,0.10703253548508022,0.18594094716909584,0.7145306472353193,0.669449081803005,Pacifastacus leniusculus,P. leniusculus,all_vs_weighted
0.8583235359383902,0.6908756349930656,0.05052409367322606,0.0034976247298160214,0.1047227294515357,0.3886609987602323,0.42908181493390496,0.25156445556946183,Astacus astacus,A. astacus,all_vs_remove_high_risk
0.9295879925921783,0.9086592945810905,0.03140013657528865,0.002822438210073566,0.06311045001941819,0.22163153985477085,0.7263703064307294,0.4382183908045977,Astacus astacus,A. astacus,all_vs_weighted
0.8717129681582373,0.8820658730237283,0.05218388251281942,0.007902744405828305,0.15962937232574065,0.25910202494346674,0.6155088852988692,0.5302218821729151,Faxonius limosus,F. limosus,all_vs_remove_high_risk
0.966511672816648,0.9621421894898283,0.029099147894312023,0.005118730293252909,0.08705411323865694,0.13772404017787676,0.7660044150110376,0.6680567139282736,Faxonius limosus,F. limosus,all_vs_weighted
0.892552055585674,0.8071587764974456,0.0539535697164716,0.010103532184965278,0.17204561810233454,0.271179657157808,0.4513788098693759,0.5220700152207002,Pontastacus leptodactylus,P. leptodactylus,all_vs_remove_high_risk
0.962551978923183,0.9134424288730111,0.03646899348087513,0.007066364810359753,0.11002419596245377,0.17614959678162065,0.6025641025641025,0.6194331983805668,Pontastacus leptodactylus,P. leptodactylus,all_vs_weighted
0.91645545096563,0.7988811976379543,0.05009603752278748,0.021971456058336336,0.11824694954241617,0.17491599922073575,0.4102925625660909,0.2961762799740765,Procambarus clarkii,P. clarkii,all_vs_remove_high_risk
0.9678836993932833,0.9764040459093697,0.021873205810448226,0.010775812599951216,0.05780658521942439,0.08048802134893757,0.807953004970628,0.762114537444934,Procambarus clarkii,P. clarkii,all_vs_weighted
0.8890766862522891,0.804143594072955,0.037823226936654276,0.0029463086526802223,0.08621724037138023,0.19672934982976992,0.5341257668711656,0.45985401459854014,Austropotamobius pallipes,A. pallipes,all_vs_remove_high_risk
0.9342048704184024,0.9189088677821936,0.024494198979295195,0.0024200094107357795,0.05630943171688308,0.11961504243689688,0.7090986757795814,0.594896331738437,Austropotamobius pallipes,A. pallipes,all_vs_weighted
0.8616735972158408,0.7195038631936655,0.03887135694736653,0.0035650147116442713,0.05488589830845319,0.24395218142067263,0.5071590052750565,0.3774104683195592,Austropotamobius torrentium,A. torrentium,all_vs_remove_high_risk
0.9201247664594892,0.9165136102151232,0.02413457230036462,0.0028757003956580455,0.03414796065178331,0.13449971000019809,0.8340210912425493,0.6597510373443983,Austropotamobius torrentium,A. torrentium,all_vs_weighted
