species,n,retain,auc,brier,ess_p99,gated,bal_before,bal_after,pool_coverage,D_ALL_FILTER,D_FILTER_IPW,D_ALL_SMITH,D_ALL_CALIB,sp_ALL_SMITH,env_width_L4,env_width_L2
Calopteryx splendens,2280,0.6364035087719299,0.679804868153821,0.21461406584208242,0.8211835818183023,False,0.10639597427259448,0.028246836573692896,0.16043425814234016,0.818568129650236,0.9173279435108013,0.9642180227626431,0.9658773405610478,0.9779310548818558,0.746286766571287,0.9127967660133426
Coenagrion puella,4126,0.694134755210858,0.6734877300817184,0.19641302562919805,0.8870470994251606,False,0.06864520335221067,0.009843324238804857,0.2004754358161648,0.8465612246458387,0.9251664032869192,0.9746107993864105,0.9786164701650938,0.9587003264034873,0.8580134700612441,0.9476377219856065
Ischnura elegans,3252,0.6546740467404674,0.6448328158780894,0.22070183403396884,0.8141083750966879,False,0.08848434539826391,0.05916809588792959,0.18699910952804988,0.8210892566967449,0.9085830582683194,0.9736342251419938,0.9751346188065655,0.9620349333543816,0.8107015619951665,0.9400640650138807
Libellula depressa,2148,0.6447858472998138,0.6571542126604557,0.2176186080408908,0.8213456936736099,False,0.08104213829893198,0.02709749326477958,0.17300131061598953,0.825161300901855,0.8998807549809489,0.9663371108717715,0.9695904632564974,0.9684627269877772,0.7830470809728677,0.8973379781188723
Libellula quadrimaculata,2496,0.6875,0.6722745203514434,0.20548090293770555,0.8298865664124997,False,0.07583856992925693,0.032774156566548224,0.16538461538461538,0.7929147741752631,0.9149750385457377,0.9754755528575623,0.9759125575818965,0.9723398784812087,0.850482020392145,0.9214311422316969
Pyrrhosoma nymphula,5128,0.7240639625585024,0.6315969390328509,0.19116872600057905,0.9402991886838818,False,0.06940643610264464,0.014819864379207464,0.22897526501766785,0.8748891634048828,0.9455445150501387,0.9727874579795969,0.9738244380992055,0.9778748064625892,0.8547563668912983,0.9104511024679591
