beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,part,regime,rel_real,corr_len,grain
3.0,0.0,3.0,0,1,blend,obs,0.5876666666666667,0.9608627830982109,0.9986030038467386,0.9985790375907196,0.7092844462528446,0.9239632810282835,0.8461501502695944,0.8486016584265245,0.9776966451473983,0.9476308437471003,0.8358112125900465,0.9734750107748027,0.9272820122260105,0.8376524564813745,0.9740886622646641,0.9311541809917419,0.9727898307009081,0.9993006348044579,0.9987449199025554,0.8706351749285017,0.984711022280613,0.979211542870749,0.9452408343259621,0.9971551008113927,0.9967978623036161,0.9699992411978716,0.8409212841782506,0.1481031030430799,74.63474052270774,7.140767664389785,0.8781496594646719,0.1332378852174632,3.882191476095452,3.934896998902875,5.618086316445572,0.770757112490855,0.7252404301186919,0.15815232238830423,0.19568161105887055,0.9351673118248132,1,6.0,0.030017920154162114,0.20280362833427512,0.7798298466713156,0.8669592293454502,0.8874626998946098,0.9272773976334512,0.8896853513631788,0.627318158347806,0.3602367019104541,0.9272773976334512,1.0,0.1900574989054735,54.55627375455565,7.066713575471736,0.04551668237216303,2.9771392898801707,A,iso,0.8082124913654984,6.0,1
3.0,0.0,3.0,1,1,blend,obs,0.6016666666666667,0.9565978321973773,0.9982600859507822,0.9985394094351894,0.7214915883079613,0.9291331102642072,0.8606058938204951,0.8887799193122807,0.9879118367876888,0.9757823598165529,0.87257142505333,0.9842623470802995,0.9633066930056007,0.8718731452908282,0.9840788187304631,0.9648440214717392,0.9708494500159179,0.9991993441414941,0.9992440509579568,0.8844492238973019,0.9879010483268384,0.9866881846982968,0.9481915513041397,0.9975950633834514,0.999818576416931,0.9758217120796021,0.8324015871369448,0.2211106770820557,44.6995106781168,8.779642055661263,0.8903805097416522,0.1234387905260035,3.934169506913488,3.9986621733855325,5.736560608293119,0.79289332067528,0.7752600380987806,0.15971021614245023,0.1980966319304606,0.9344598265139924,1,6.0,0.033181413336660553,0.20310156875268215,0.7863563886940244,0.8850037357449588,0.9097764162510797,0.9633056775119677,0.9073917000315921,0.7287760432553688,0.36217390313361064,0.9633056775119677,1.0,0.22877645268205926,45.46882315308704,8.495928144594684,0.017633282576499244,2.9869345128993645,A,iso,0.8062237837466846,6.0,1
3.0,0.0,3.0,2,1,blend,obs,0.6136666666666667,0.969708347022287,0.9991437988272655,0.9990615929312693,0.7272550464096179,0.9319120097817863,0.8595689203889945,0.8827137699263641,0.9863076550799752,0.97313716503169,0.8457642302823816,0.9767512407555476,0.9461648563431394,0.8491584961594297,0.9777160869336547,0.9501513636810704,0.9791876614997207,0.9995789599520596,0.9990435074882218,0.8750582051392954,0.9853848067697423,0.9807187550198079,0.952389022083252,0.9978567159986648,0.9982338248180619,0.9493616235506408,0.8601072696605341,0.21023792136672964,77.5732583686231,6.430620249192499,0.8732775965345014,0.13259280866598064,3.694032899872494,3.7670120371174423,5.505213631507858,0.7589941421098085,0.7294837887278462,0.1587145551441816,0.1999621466723086,0.9338604994037745,1,6.0,0.03143310129115041,0.20174523345633355,0.7867078315807363,0.8810048669539525,0.9024421428181242,0.9461588228477039,0.9666184219816584,0.7657266670543315,0.39290280310637005,0.9666184219816584,2.0,0.2120541960394126,76.88946349292948,6.713068812854608,0.02951035338196226,2.9798161199084605,A,iso,0.7937230010051742,6.0,1
3.0,0.0,3.0,3,1,blend,obs,0.6063333333333333,0.9660186246899422,0.9989277791731521,0.999311863750123,0.7415723774276983,0.9409194742042902,0.8769786956111583,0.9103914337652426,0.9925332695528796,0.9900971763376288,0.8720468646404879,0.9844440598622249,0.9661552020235998,0.8750294119460709,0.9851040703251918,0.9693437345015525,0.978448867120494,0.9995512011407768,0.9994748618210886,0.8789482823440772,0.9870367847296027,0.9843678133635412,0.9499809308488902,0.9977713645333433,0.9999252580455593,0.9404993365702968,0.8547023972457096,0.27959962229271235,52.193395194683866,6.308140430616299,0.8708397901723225,0.13649585686868412,3.5405229024238336,3.5948910338949207,5.545572957707047,0.7602273233713728,0.7307911215817074,0.16937870223808993,0.21238497902275438,0.9349605512761415,1,6.0,0.031182121600696205,0.2124198810718113,0.797376881031344,0.9009473880357892,0.9238660554878098,0.9661544218626948,0.9707959556808696,0.72708407966145,0.3902895786728734,0.9707959556808696,2.0,0.2938871090578122,49.94167027287336,6.563304923289218,0.02943620178966546,2.9693204793163206,A,iso,0.7975079170732838,6.0,1
3.0,0.0,3.0,4,1,blend,obs,0.5963333333333334,0.961446449983893,0.9986350276448032,0.9997187767394066,0.7163901992279945,0.9274328894602093,0.8424299675961856,0.8798925264889932,0.9858681479514558,0.9690791060982004,0.850574542338276,0.978276678074956,0.9451492476298702,0.8530554460616113,0.9789660789082804,0.9488273755596865,0.9736296399457135,0.9993416198879994,0.9995248609888456,0.8775187791980698,0.9859631161191814,0.9791696428040709,0.9458566929524072,0.9971877484287379,0.9975486594372538,0.9627419573522044,0.8448270171467503,0.3657748374364317,27.662017198145012,6.96528348538793,0.8797255823850589,0.1324071857535476,3.83635309092321,3.8886042892205173,5.799112934401478,0.7773397504688296,0.7429338484029895,0.16228142892760128,0.20365533574839978,0.9352457784116844,1,6.0,0.030469125008662147,0.20591725788915213,0.7880904718290267,0.8682699168093031,0.8932574404861563,0.9451481839308616,0.9561884814862266,0.7516393048006276,0.3891494343695131,0.9561884814862266,2.0,0.37113721304518826,27.966402326104237,7.068913218634092,0.03440590206584023,2.983207149862904,A,iso,0.7968434921247891,6.0,1
3.0,0.0,3.0,5,1,blend,obs,0.6013333333333334,0.9560186251712874,0.9982097030289955,0.9987397115912281,0.7406735481313846,0.9387779060983671,0.865254318033368,0.8985159777478956,0.9897200938759256,0.9768129874612339,0.8644748010163046,0.9817944978844813,0.9529708440320525,0.8685266195424449,0.9828786352348261,0.9575515664439989,0.9694020830718103,0.9990949682966251,0.9991431274327077,0.8919179974766673,0.9888429443793352,0.9837779653256367,0.9448252790639327,0.9970475188647824,0.998030127622698,0.9578023673827464,0.8532061002814756,0.28549568181987184,40.958138292381435,6.717713785751201,0.8674274095469748,0.13799731448720076,3.5881942269984384,3.648243358252605,5.465596317894078,0.7749764938524328,0.7187593218853214,0.16687966219591766,0.2087382042447428,0.9349785976607222,1,6.0,0.031921953825445035,0.20994449786100666,0.7948751403163706,0.8867485105889298,0.9085805099983014,0.9529625293307209,0.9540761161654202,0.7367275563080445,0.3920407930809351,0.9540761161654202,2.0,0.2906781149395674,38.89227046289631,7.078081926672763,0.05621717196711145,2.980302874303447,A,iso,0.7994687067454765,6.0,1
3.0,1.0,3.0,0,1,blend,obs,0.5876666666666667,0.8330997251431727,0.9732296419168572,0.9293796025133203,0.7092844462528446,0.9239632810282835,0.8461501502695944,0.8486016584265245,0.9776966451473983,0.9476308437471003,0.7858260386030712,0.9556216917174883,0.893887604779215,0.7874014450248162,0.956233478837099,0.899994392277709,0.8328575088515398,0.9731113969659876,0.9334202180430626,0.7648241522441006,0.9473968919033343,0.9228546981595207,0.8494169571955285,0.9793021254530593,0.9337739099457629,0.9303982919568872,0.8852977883598253,0.7159601692513263,20.992700408565916,4.302138464831138,0.7159105863773947,0.20652628919121957,2.1035301466713485,2.1531270128949243,5.618086316445572,0.770757112490855,0.3319893076079732,0.15815232238830423,0.17695581797010293,0.9351673118248132,1,6.0,0.030017920154162114,0.20280362833427512,0.7798298466713156,0.856934153449864,0.8703879383689124,0.8938872014043041,0.9181525789573615,0.6681876448062422,0.44204169756977896,0.9181525789573615,2.0,0.7893969042794875,14.764373697408292,4.191157697516301,0.43876780488288175,2.9919430836918512,A,toward_HQ,0.8937390372495377,6.0,1
3.0,1.0,3.0,1,1,blend,obs,0.6016666666666667,0.845270777363041,0.9766510233484085,0.9379927686767945,0.7214915883079613,0.9291331102642072,0.8606058938204951,0.8887799193122807,0.9879118367876888,0.9757823598165529,0.8081053517940401,0.9642778712865605,0.9176482556280968,0.8090023088013745,0.9645474878123609,0.9220709273636947,0.8453228087648411,0.9766817929133649,0.942146133582052,0.782491984069474,0.954621419777843,0.9358698181961934,0.8658893432681278,0.98307372905463,0.9438534547337679,0.9116496447756107,0.8843592066403597,0.814915364937886,9.582746417747858,4.85924328386317,0.7212401627278944,0.20187109992487792,2.115800286177966,2.165336168785204,5.736560608293119,0.79289332067528,0.3458307710393055,0.15971021614245023,0.18003123229052836,0.9344598265139924,1,6.0,0.033181413336660553,0.20310156875268215,0.7863563886940244,0.8727038480385076,0.8874326848713324,0.9176439179997256,0.9551568657722482,0.642426829586871,0.38161724864305224,0.9551568657722482,2.0,0.8257335724391761,8.365227515159324,4.7508763174859725,0.4470625496359743,2.9872847835574436,A,toward_HQ,0.8871250510839989,6.0,1
3.0,1.0,3.0,2,1,blend,obs,0.6136666666666667,0.8314668449807663,0.9720390806355753,0.9273605710311192,0.7272550464096179,0.9319120097817863,0.8595689203889945,0.8827137699263641,0.9863076550799752,0.97313716503169,0.7930805538760185,0.9581586732940226,0.9059743111064995,0.7952297095754866,0.958984718457841,0.9115351866371214,0.8315566584786868,0.9721263400798942,0.9316203061812807,0.7774009074756637,0.9521808325400025,0.9271385436529366,0.854465206597773,0.9794376973200191,0.9368957436960059,0.8976862503337057,0.8998561046788509,0.9002605754409672,5.250899346198893,3.662873207748001,0.704500920692931,0.20535969837811832,1.927179092678672,1.9886133527768877,5.505213631507858,0.7589941421098085,0.32389108170260683,0.1587145551441816,0.17567647758279806,0.9338604994037745,1,6.0,0.03143310129115041,0.20174523345633355,0.7867078315807363,0.8705264972649501,0.8832611519581964,0.9059737135761338,0.9409727192125859,0.8203933823999209,0.528143397490916,0.9409727192125859,2.0,0.8997676193776728,5.061183287940913,3.671674344111557,0.4351030604072017,2.991421666982234,A,toward_HQ,0.9034479591576389,6.0,1
3.0,1.0,3.0,3,1,blend,obs,0.6063333333333333,0.843594528539273,0.9766669379450633,0.9394080703261403,0.7415723774276983,0.9409194742042902,0.8769786956111583,0.9103914337652426,0.9925332695528796,0.9900971763376288,0.812076924716515,0.9662967729940506,0.9235442124675948,0.8142110949189536,0.9669235979944377,0.9290557941727535,0.8444942702785294,0.9768771582253697,0.9437631630444727,0.7856694705734752,0.9566905513207962,0.9389710167139564,0.867936387764231,0.9842101706459749,0.9505229442857139,0.8789555189593014,0.9023779399563663,0.9048437365503573,4.104089668704782,3.4541938323088686,0.7012734616585957,0.2085000525400535,1.7544186497498016,1.8098314889031735,5.545572957707047,0.7602273233713728,0.31582533156249853,0.16937870223808993,0.18984270721287572,0.9349605512761415,1,6.0,0.031182121600696205,0.2124198810718113,0.797376881031344,0.88852591092147,0.9014688079756261,0.9235470574337723,0.9558061067004583,0.845331865381032,0.5669678897616153,0.9558061067004583,2.0,0.9059367859323597,3.8836395759506916,3.4003158712852777,0.4444019918088744,2.9874405468868925,A,toward_HQ,0.8922054722289703,6.0,1
