regime,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
away_HQ,0.5,1.0,10.0,1.0,0.6025833333333334,0.7905886912326396,0.9570661904649203,0.8521315435369353,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.892937966331236,0.9893480225297978,0.9662572541554383,0.8980287580109819,0.9903131226317676,0.9672692239795679,0.8313817153395553,0.9718392116753666,0.9049004251700015,0.9227933735027758,0.9941918381716944,0.9968850602890407,0.8752146855207177,0.9851791626903501,0.9651104094993369,0.896061636547287,0.8318760077636738,0.4186386988036937,39.958323007352725,7.254057358256862,0.8561845166482976,0.14755017503139908,2.5424009881234335,2.465170300353017,0.8983932143682163,0.2465074505278529,0.8595280576737601,0.2755139890867672,0.32691731800058754,0.9974765385500729,0.9982479154236106,0.9662704859247222,0.6036957427942222,0.20994131834793078,0.32797600444408426,0.9990131290599547,0.40625,0.5422625818387903,21.6930644396183,7.030272058314596,-0.6130206071459072,9.823459196591747
away_HQ,1.0,1.0,10.0,1.0,0.6017083333333333,0.7810098685441139,0.9521573833794466,0.8372831936836511,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9415912447533012,0.9964643184103211,0.9914300399754709,0.9455468548608184,0.9967777200454612,0.9901382841846371,0.8247047139958708,0.9685324491282904,0.8971384558776465,0.9285746966351615,0.9946771946834787,0.9957692537625845,0.8720145460272629,0.9842801809591664,0.9680355791342087,0.9306275502704145,0.8221059222849147,0.28869668693413914,55.93464840494376,8.678812933578762,0.9100282175129357,0.11587099000824812,3.518541801585571,3.409141427699457,1.8564932047933578,0.44183388075619795,1.0362606992279806,0.24329207433771122,0.30147754940163074,0.9806511562356455,0.9931991663704455,0.9914373617583392,0.6758288130070697,0.37743284598572735,0.35215159801254536,0.9962949237974376,0.75,0.30619051863900104,54.3490139976282,8.785872675671087,-0.5944268184717827,9.793372400553535
away_HQ,2.0,1.0,10.0,1.0,0.6029166666666667,0.7701714872624483,0.9470496802725806,0.8209442484136625,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.9291065794451234,0.9952074191861452,0.984279767005328,0.9396656510252119,0.996410835100385,0.9888406338728262,0.8163472215634979,0.9651377063055236,0.8893729738954275,0.9257369211476297,0.9943180789924121,0.9938749052318154,0.8688670133759406,0.9835091803246677,0.9702208076449724,0.958795969740937,0.8498231949102867,0.1406864466177073,97.10536519433366,7.608975659436753,0.9581455108190523,0.07649453636232073,5.26622452431817,5.08534942076685,3.648491446684462,0.6373316650615529,1.2172722146013326,0.1928740452668534,0.2599234923438647,0.9352751398415592,0.9524249937091219,0.9842710870049203,0.8831150858969835,0.5742129781985792,0.38781218934233636,0.9842710870049203,1.0,0.12023591385640772,108.44379698388023,8.075102175049993,-0.5799405495397796,9.75889814727626
away_HQ,3.0,1.0,10.0,1.0,0.6015416666666666,0.7654874535947712,0.9447622062999557,0.8128795534634421,0.7387518621933984,0.9360567307905961,0.8640876621944097,0.8882990562043666,0.9865647131594475,0.970217494573776,0.8418532713534448,0.9757539367238861,0.9354345522278622,0.8520449154420286,0.9785558023477291,0.9450321166188015,0.8131546270750106,0.9637944660838726,0.8865816287655824,0.9209879216873619,0.9936940307899537,0.9925799723876445,0.8665771162907747,0.9829586940181018,0.9711876997270825,0.9328625231279648,0.8873908787715508,0.12065739688499008,188.15215650501617,5.520054178797834,0.9770165579791362,0.054485742415009045,6.9640265315825935,6.773523811641765,5.52682549605341,0.7246852479294139,1.3001928893168557,0.16425220924843542,0.23534988055112066,0.8959629410270245,0.9081651882637161,0.9354156623517061,0.981766446540041,0.7025668764809199,0.42142810983682977,0.981766446540041,2.0,0.116141126675304,200.55004733444144,5.94526593469584,-0.5755076413874419,9.737464662687026
away_HQ,4.0,1.0,10.0,1.0,0.6035,0.7634328866325006,0.943753715480208,0.8075766727164961,0.7154310870605463,0.923770029263886,0.8463906452038646,0.8564195128634478,0.9778857245557191,0.9536075004646989,0.7922441140097353,0.9578868153858207,0.9014464804879445,0.8053907361377679,0.9626780398179003,0.914068436102906,0.8110594522672115,0.9629589045811535,0.8830341445898517,0.9212893528985341,0.9937443654360191,0.9924274393757369,0.8658091261725034,0.9827982898125242,0.9710236722853605,0.9133434250511959,0.9138465837150603,0.1106636058957101,183.82130715798044,4.404340811680535,0.9851673524024954,0.041551314605482316,8.346303508432777,8.334136562006336,7.2923358979331425,0.7662743903495187,1.3388536464497114,0.14962459476902815,0.2214500730806675,0.8718367310664964,0.880745012088631,0.9014486002511433,0.9625071867603769,0.807398788239563,0.4856986941064589,0.9625071867603769,2.0,0.10714868204974567,183.44780833441163,5.133937038836624,-0.5725792561001927,9.721469666551775
iso,0.5,0.0,10.0,1.0,0.6025833333333334,0.8925085372955965,0.9889047226175548,0.9977964360666328,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9336475525713477,0.9958752536999059,0.9966539538005198,0.9580038128520191,0.9983685954618501,0.9982155313252697,0.9348838933253809,0.9958928735501831,0.9989707823636325,0.8978092342556295,0.9895808165881903,0.9935196101777019,0.8759707297999606,0.9857929438857294,0.987091415244373,0.9307425125724507,0.9212980095327615,0.7109551885626003,25.55620124871262,4.013205959615262,0.6598623026747047,0.21512928994963426,0.6159057541580207,0.6780022908853163,0.8983932143682163,0.2465074505278529,0.23447558617593528,0.2755139890867672,0.37008036988239235,0.9895241232609342,0.9922717483615074,0.996653798922529,0.9524190867220419,-0.008128711694216438,0.43200360820972605,0.996653798922529,1.0,0.8969089203959595,9.091678859292111,3.4412111246574604,0.012031864351917587,9.828117493464031
iso,1.0,0.0,10.0,1.0,0.6017083333333333,0.8877532143040618,0.9880062659258765,0.9984507279317582,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9301391299815194,0.9957170774813969,0.9890206975551802,0.9509216029490621,0.9978575163086507,0.9935184589886112,0.9311209246787342,0.9954739899322745,0.999382157712232,0.8706479436378306,0.9836382324064457,0.9820235598110737,0.8652179508707774,0.9834559536795658,0.9762453051975895,0.9289607027935177,0.8997203708431112,0.6339957366459645,24.913720079371846,4.93308514023034,0.712750598657445,0.19916096142950812,1.2343558955466702,1.3239109734915806,1.8564932047933578,0.44183388075619795,0.40827156905876316,0.24329207433771122,0.34623380359501166,0.9628116769621061,0.9714425426295059,0.9890211058699155,0.9191403017568881,0.1901638398608979,0.3625619954054655,0.9890211058699155,1.0,0.7208960148947572,18.511812624916264,4.674724777561832,0.033562311697434774,9.796239392082843
iso,2.0,0.0,10.0,1.0,0.6029166666666667,0.8860458239875201,0.9875084369384559,0.9968151522513014,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.8817178873163326,0.9866969895014308,0.9562901093794123,0.8931066772956454,0.9887811234952506,0.966503742316067,0.9299343539245496,0.9952762001211068,0.9987717824596798,0.8349080176258752,0.9735536244566904,0.964072220715925,0.8603917664285208,0.9822675543764835,0.9656469689210393,0.9185150927930343,0.8830248888583851,0.48396368352510144,32.96787770058479,5.722904380011345,0.7839593264796509,0.17116192210691783,2.227195086036591,2.3713313550356863,3.648491446684462,0.6373316650615529,0.5910326992443091,0.1928740452668534,0.2967528436589923,0.9128047002384544,0.9262946900741246,0.9562923735248496,0.9295953876179244,0.4929858178724907,0.40360005946467836,0.9597230046075826,1.25,0.5158802827388035,30.144059296479895,5.370203630264412,0.04629896581724378,9.803805873415454
iso,3.0,0.0,10.0,1.0,0.6015416666666666,0.8862772624959292,0.9875692443780462,0.9973698432650666,0.7387518621933984,0.9360567307905961,0.8640876621944097,0.8882990562043666,0.9865647131594475,0.970217494573776,0.8240270168418395,0.9695223810329343,0.9156517255199363,0.833719751375163,0.9722373876872534,0.9306497496895274,0.9305119031077868,0.9953493127484095,0.9988338597003905,0.8129682011370851,0.9659602186517742,0.9521813742352333,0.8540042278608961,0.9805456374656857,0.9550913054045342,0.914116589770483,0.8922361381552093,0.3750324899835745,57.564023985097066,4.948608903420378,0.817476965349407,0.1549673255889674,3.042322669172054,3.21973842077007,5.52682549605341,0.7246852479294139,0.6607669098616461,0.16425220924843542,0.274409934263265,0.874956249586575,0.8874983399817322,0.9156524183060946,0.9460967301189349,0.6474851081054281,0.44293988960441755,0.9460967301189349,2.0,0.42358444891123703,54.43493645805071,4.934024824565485,0.06391833806776782,9.786847159222491
iso,4.0,0.0,10.0,1.0,0.6035,0.8836285234724182,0.9869594872993178,0.9966494075901642,0.7154310870605463,0.923770029263886,0.8463906452038646,0.8564195128634478,0.9778857245557191,0.9536075004646989,0.7889605032811364,0.9559839147241354,0.8912373882603453,0.7969792854148592,0.9586906414825273,0.9064559619898065,0.9279084241429937,0.9949969635728997,0.9984953566310395,0.8073058325750616,0.9638512217606159,0.9484527556882137,0.8469541550026987,0.9784920652611139,0.9475930003262986,0.9103921896822168,0.9045383087689776,0.5068421037579932,78.00437035684187,4.300087044901155,0.8320922744098286,0.14553254954461486,3.5659936183689895,3.7892712502429924,7.2923358979331425,0.7662743903495187,0.6935562494109381,0.14962459476902815,0.2619409854242245,0.8558744633398286,0.8670221726128022,0.8912388620610663,0.933842594631098,0.7744896575172505,0.48957794215277517,0.933842594631098,2.0,0.5430427817156941,39.5397877267542,4.331915798981274,0.0727181409385806,9.795722528395673
toward_HQ,0.5,1.0,10.0,1.0,0.6025833333333334,0.789714068351813,0.963700451430505,0.8679159533578842,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.8155539573874895,0.972518463683738,0.9010003064950769,0.8366963254508416,0.9785478190838558,0.9245576461761401,0.8280640631601397,0.9761740740221255,0.9151803835932683,0.8675914145600725,0.9830558754777944,0.9801361530427031,0.7829383682180365,0.9602246302411644,0.8620418540476424,0.8111583837483968,0.8722745481177845,0.7259769918660419,15.487043214379028,4.968323420130668,0.7350243028131744,0.1992849568538781,-1.3601093284687995,-1.2814031319078771,0.8983932143682163,0.2465074505278529,-0.42324117472464756,0.2755139890867672,0.3022214622598849,0.9745162977770935,0.9576861147055784,0.9010041869353775,0.5690252620649962,0.07473751823897841,0.25035157935678265,0.9745162977770935,0.25,0.8953786424959315,5.405531559759971,3.66608332325358,0.6697486252525005,9.934684174855276
toward_HQ,1.0,1.0,10.0,1.0,0.6017083333333333,0.7829223809174799,0.9613280695191366,0.8605979982728844,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.7964113450022802,0.9662059446012983,0.8830387713716205,0.8173534638674063,0.9722724071810156,0.9096259558452026,0.8158641454643634,0.9717999474970557,0.9037845399062265,0.8238165404876296,0.9702439052529663,0.9616263793047449,0.7681500461982393,0.9546131356100546,0.8349333039879377,0.8002128532317007,0.9041707009784011,0.8413052043374186,9.644975564191444,4.050369811410904,0.6759125356006039,0.21558173520880838,-0.7688482439285547,-0.6606217562041093,1.8564932047933578,0.44183388075619795,-0.2452480621875934,0.24329207433771122,0.27443943980286445,0.9419047006775891,0.9266292985209948,0.883037191665575,0.6769216171133634,0.10764699581025619,0.37763797243720243,0.9419047006775891,0.25,0.9555420379965427,3.5002230094702673,2.9612001804902155,0.6870819429437913,9.94801671711191
