env_var,mean_all,mean_high,SMD_all_to_high,KS_high_vs_low
bio_8,2862.9678655939424,2851.854649667487,-0.17936043392818393,0.24720342230119613
bio_3,2.9615840082477747,2.9872873628078613,0.14235146422779243,0.2520017966352942
bio_19,2027.7489115002365,2092.3852004262044,0.13456380751435965,0.2502142301498194
bio_17,1743.6451254141032,1790.5242311790425,0.12910201426274648,0.22040436721293144
bio_12,8566.192711784193,8784.514862034757,0.11807605434620491,0.16877620109929148
bio_14,498.20487458589685,509.87794393210123,0.11250150642549588,0.21024049437722742
bio_16,2566.526999526739,2630.5312121100783,0.08940659690291707,0.12913801124825863
bio_11,2747.74914813062,2748.5944813903075,0.08127178444705294,0.17776504160657314
bio_9,2785.989375295788,2788.3252746445237,0.0805868385896102,0.24818260451012497
bio_13,903.7235210601041,924.9836499246794,0.0804585907781484,0.10576383462702743
bio_1,2827.1052768575487,2827.670573538597,0.0744280985225446,0.14085479972415288
bio_2,71.53937529578798,72.07458573685564,0.06864127467100958,0.07409462654864411
bio_4,6210.248509228585,6181.409192783922,-0.06459728214951645,0.1536817149205651
bio_18,2467.6637718883103,2507.932725869861,0.05787234328512728,0.07242737504192187
bio_15,162.00418835778515,159.72715582172907,-0.03874368478052685,0.19772867448692377
bio_6,2716.113322290582,2716.509644707352,0.02602091856348698,0.13867263869904523
bio_5,2957.196663511595,2957.4275269133263,0.021168963084133213,0.08435692514589432
bio_10,2907.4117132039755,2907.593415879781,0.019972683944646536,0.07346891294324923
bio_7,241.08334122101277,240.9178822059742,-0.008940497785700878,0.11404542529392248
