dataset,n,n_high,pct_high,n_basins,energy_dist,energy_eff,energy_p_floor,env_auc,brier,w_mean,w_p50,w_p99,w_max,w_max_over_mean,ess_none,ess_cap_p99,ess_cap_p95,ess_cap_10x
GLOBAL (all species),113907,82713,0.7261450130369512,2512,0.8683645306754251,0.03915926931129038,0.005,0.7240116359048463,0.1771383494731744,1.466874687166834,1.2406104134740579,3.7591274688989817,495.9418247574143,338.0942006132039,0.2728931427135876,0.8907916235243148,0.9229148526284418,0.8345948394966402
Astacus astacus,5428,2923,0.5385040530582167,210,4.604988734788368,0.2097997454647438,0.005,0.923563478585081,0.1098882746810228,5.52410222116792,1.0185178352092177,41.636904717043876,1000.0,181.0248905547185,0.00952693915621029,0.1726183682029079,0.6300722836879643,0.13936405540549454
Austropotamobius pallipes,4736,3470,0.7326858108108109,82,3.3530364571284323,0.1498002166896989,0.005,0.9596390410241702,0.06296943837591389,11.129049669795247,1.000104490864052,211.50698348480537,1000.0,89.85493188282248,0.013295781915004185,0.028273471016958138,0.8707274416304515,0.04756631646782596
Pacifastacus leniusculus,6440,5338,0.8288819875776398,267,1.7802741987072963,0.08080828188510086,0.005,0.8652908231159804,0.0904317437772197,2.652308001232878,1.0382865622405295,7.455038367497381,1000.0,377.03011849874446,0.005908866597896925,0.7087938796693442,0.9633719311108977,0.3462778727620858
Procambarus clarkii,39186,18211,0.46473230235288115,1450,0.700802084154823,0.03225831834223637,0.005,0.735777091593975,0.20946985817294222,3.07822123016099,1.8546083877179187,38.38856050891088,1000.0,324.8629403896679,0.047351802959154476,0.2804303055066239,0.7871109304128903,0.3317017808710895
Faxonius limosus,8064,5824,0.7222222222222222,190,1.2582297339446633,0.05591931304551922,0.005,0.7508297331853415,0.1768422060724031,3.2275488292652956,1.1122459270512115,11.813349680580972,1000.0,309.83264790067807,0.007030651691803908,0.5119751643999805,0.8249160527205068,0.28262284120028486
Pontastacus leptodactylus,2836,1978,0.6974612129760226,247,0.8730137279902372,0.039333032429975864,0.005,0.617430429361673,0.2371368438630404,10.151970630608902,1.3343695699077016,175.19056335365087,1000.0,98.50304304318315,0.015657921216505517,0.0495996530849069,0.6628588985066836,0.07658602853677565
Austropotamobius torrentium,3296,1699,0.5154733009708737,44,1.8089543970756559,0.08231727677267134,0.005,0.6091796603622964,0.43586471505272906,9.915101023058998,1.0093061014046214,91.32701773769571,1000.0,100.85625932346586,0.022394060577662123,0.14625863950662865,0.21169077549143742,0.14249476987760548
