regime,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
iso,0.0,0.0,10.0,0,1,blend,obs,0.6006666666666667,0.8891383713360586,0.9882326770341978,0.9983145357940705,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.9210267179370429,0.9940412593101737,0.9994699408108253,0.9505536046628361,0.9976507593614052,0.9995208022129375,0.9329659038825973,0.9956591277511314,0.9988416034840552,0.9040170418794322,0.9912334164953223,0.9994660009533364,0.8923540295273513,0.9891510604230634,0.9953372290401836,0.9125374854382184,0.9117112614592937,0.7744886907657477,17.557199119339693,3.9837240999029557,0.6584559170945286,0.21850978798606888,-0.016819722168906998,0.022200993273082732,0.9360768114480283,7.83759881819499,3.006273712643602,0.010857909559232796,9.795641216981993
iso,0.0,0.0,10.0,1,1,blend,obs,0.607,0.8965995356045298,0.9898832594625756,0.9995381497924433,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9216365197182332,0.9941815483425942,0.9998701340074941,0.9511335277960427,0.9976847145559593,0.9994576495651076,0.938388071774432,0.9963745464860877,0.9995566571498306,0.9134196594994323,0.9927975297373939,0.9993386394631308,0.8744626989135584,0.9854098443440672,0.9930991913499438,0.9224510297228472,0.9222830681694987,0.32239825012955425,54.44749364237142,3.8044899524994182,0.6460500643002499,0.22033785037472603,0.07120574714050762,0.0998832418269335,0.9281725846626424,9.130008659116895,2.810940451176641,-0.028137627325423853,9.814539588876414
iso,0.0,0.0,10.0,2,1,blend,obs,0.604,0.8795287762592525,0.9862230787417999,0.9989547516597057,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9174241031162643,0.9934416654310612,0.9989380299861916,0.9415754347622098,0.9967287149878514,0.9996063340898705,0.9233952030570712,0.9944065793763975,0.9997254880841359,0.9242306352450771,0.9945366995911881,0.9997965951318022,0.8683206727084116,0.9837166214045644,0.990185524117753,0.9270650206873468,0.9273224686921884,0.9146289120227913,4.70870390658583,3.596025652823745,0.6374574014612646,0.2201743639363436,0.0009670685942742658,0.04009847816207109,0.9688712489293507,2.951229461031004,2.988679445297591,-0.004532873196805874,9.836192930559635
iso,0.0,0.0,10.0,3,1,blend,obs,0.597,0.8849824170553712,0.9872678047534496,0.9966907139112521,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9186942344253499,0.9935821078460497,0.9966413666719208,0.9446010839061759,0.9969596204380436,0.9972693296166716,0.927595129370794,0.9949096098479286,0.9976443253228482,0.9116059013365724,0.9926614413891297,0.9992662257576713,0.878462219173771,0.9860974321917794,0.9950707335482722,0.9269340782435822,0.9276834538471824,0.8515332971444362,10.437640728090463,3.8421090280506514,0.6421947528285671,0.22285926507749615,-0.025158759140154446,-0.007650674260404264,0.9662051670731605,4.656291817123287,2.841688537740655,0.023582589985957306,9.84277479489652
iso,0.0,0.0,10.0,4,1,blend,obs,0.5966666666666667,0.8966043733732433,0.9897921102476789,0.9977081368957358,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9323334950433755,0.9956529143434478,0.9987644455459339,0.9559220951321873,0.9981602945493528,0.9986876719733717,0.9382986769175665,0.9963649149621725,0.9986542909930676,0.9001101003746564,0.9904432169085207,0.999108064019988,0.8748953026899489,0.9854223811685602,0.9933966459898326,0.9252271506166665,0.9250764004313691,0.9255327171482857,4.398224277397955,3.6597875139519367,0.6392938270464934,0.22265333607693447,-0.1448687123695754,-0.12224971637297016,0.971262670900275,2.6974610016589065,2.8204395212236704,0.008046434446076388,9.802886723005642
iso,0.0,0.0,10.0,5,1,blend,obs,0.5986666666666667,0.8986739988370045,0.9901229982243354,0.998293633027334,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.9271950574994602,0.9949361101833692,0.999642494298628,0.954010691623349,0.9979565960129205,0.9996149893080082,0.9401309818561189,0.9965416317977367,0.9993390331606316,0.9083569488234557,0.9920462797850759,0.9993939672324947,0.8877014695283623,0.9882961491611085,0.9953431563158502,0.9304573796786975,0.930623739662453,0.9368837107808503,5.333932644342791,3.561473876865135,0.6228720245802781,0.2254777615797002,-0.050674783251926904,-0.023146064030431512,0.980426887520217,2.6817342480481616,2.7070272584458266,0.0033252568001060135,9.824206391258887
iso,0.0,0.0,10.0,6,1,blend,obs,0.6106666666666667,0.887939110699195,0.9881273631109423,0.9996186731940649,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9248842721494441,0.994684700354307,0.9999738851618368,0.9484057473157658,0.9974574383349439,0.9996945613837349,0.92911425755495,0.9952223248840938,0.9998739955516323,0.9208560812350637,0.9939815275369512,0.9989546289833331,0.8739462680754266,0.9854749096260504,0.9919168737531348,0.9320212150477896,0.9327396638948736,0.9327015661979696,5.611134825973627,3.514261579184161,0.6343488757701741,0.22004483150957496,-0.08166279064234766,-0.06393328508679987,0.9762861657086245,3.0141004078864144,2.626895903565053,0.0023443140194252306,9.86734072916851
iso,0.0,0.0,10.0,7,1,blend,obs,0.5916666666666667,0.8970475985572354,0.9899719375357509,0.9994406534172106,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.9202997148743303,0.9939734496907467,0.9988812557630158,0.9503552358834552,0.997662468094081,0.9993472073306613,0.9415614313972821,0.9967506462330549,0.9996519984094555,0.8995054891358281,0.9902590333615411,0.999256094110069,0.8708058162059983,0.9844990806704512,0.9894451732212184,0.9113951740399009,0.9116997773241101,0.8002774859355232,13.305698957779816,4.467614165860047,0.6538826099453866,0.2210009473217203,-0.04260730658311225,-0.01443081724347857,0.9473129202736388,6.083214511559243,3.2865965203851197,0.0020775955623815773,9.835290476505143
iso,1.0,0.0,10.0,0,1,blend,obs,0.602,0.8864525433847421,0.9876797522474529,0.9981527595744557,0.8616424943736767,0.9828022915005776,0.9533261150112837,0.952936385433316,0.997916641396699,0.9951914390173495,0.926381049268648,0.9951248197017131,0.9859712009263553,0.9468180122648026,0.9974873791653582,0.9916555147923459,0.932085684917586,0.9955715470877448,0.9993909707279449,0.8662705500347099,0.982467538615929,0.9826317462453469,0.8752882337138439,0.9856516240682572,0.9807130961688908,0.9289391115335693,0.8921291059891808,0.2602532450061326,68.85610826855925,5.387478916268399,0.7248759949618895,0.19423467020438429,1.377213106965708,1.4816811680612,0.36117158607727656,53.46647402696863,5.07506923458144,0.0165314154818829,9.784884425711784
iso,1.0,0.0,10.0,1,1,blend,obs,0.596,0.8843885148378361,0.987286063051812,0.9984515394058442,0.8535237546379304,0.9813694213896573,0.9473165223626675,0.9669851185698557,0.9988904878474958,0.9975414661710895,0.926074505389921,0.9953968817048677,0.9880340807667776,0.946387575538713,0.9976315341491551,0.9925257842770018,0.9280926212173416,0.9951166535202277,0.999736470755175,0.8622825937908338,0.9817090958952964,0.9794324372552319,0.8536230484918675,0.9806047020017661,0.9675985889991834,0.9316636682726398,0.8892761113994196,0.35625985227597406,43.071110584045265,5.607120457665905,0.7315902311707682,0.1943859208276684,1.373352193096907,1.4498869311179545,0.5424238703094182,25.456463263986368,5.194056084397081,0.023930741781659777,9.806820222459825
