regime,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
away_HQ,0.0,1.0,10.0,1.0,0.6007916666666666,0.7973963710332381,0.9619993957908229,0.8637022157931195,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.8504533303449593,0.9804689750696426,0.9311549261960427,0.862380072429902,0.9836161587481711,0.9420816330018813,0.8313777613247793,0.974276851728794,0.908454196747388,0.8956309219939094,0.9903377903667733,0.9930736503221205,0.874045795084509,0.9855080042058096,0.9584295382545767,0.8578415903770261,0.8579633871785859,0.6260211080522077,20.323914508970667,5.78593402510355,0.7780216313040274,0.18237701567777198,1.6825519472579566,1.611222431201115,0.7737763204283334,10.799701193845864,4.960547185945206,-0.6339440957753711,9.855467090151427
away_HQ,1.0,1.0,10.0,1.0,0.6017083333333333,0.7810098685441139,0.9521573833794466,0.8372831936836511,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9415912447533012,0.9964643184103211,0.9914300399754709,0.9455468548608184,0.9967777200454612,0.9901382841846371,0.8247047139958708,0.9685324491282904,0.8971384558776465,0.9285746966351615,0.9946771946834787,0.9957692537625845,0.8720145460272629,0.9842801809591664,0.9680355791342087,0.9306275502704145,0.8221059222849147,0.28869668693413914,55.93464840494376,8.678812933578762,0.9100282175129357,0.11587099000824812,3.518541801585571,3.409141427699457,0.30619051863900104,54.3490139976282,8.785872675671087,-0.5944268184717827,9.793372400553535
away_HQ,2.0,1.0,10.0,1.0,0.6029166666666667,0.7701714872624483,0.9470496802725806,0.8209442484136625,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.9291065794451234,0.9952074191861452,0.984279767005328,0.9396656510252119,0.996410835100385,0.9888406338728262,0.8163472215634979,0.9651377063055236,0.8893729738954275,0.9257369211476297,0.9943180789924121,0.9938749052318154,0.8688670133759406,0.9835091803246677,0.9702208076449724,0.958795969740937,0.8498231949102867,0.1406864466177073,97.10536519433366,7.608975659436753,0.9581455108190523,0.07649453636232073,5.26622452431817,5.08534942076685,0.12023591385640772,108.44379698388023,8.075102175049993,-0.5799405495397796,9.75889814727626
away_HQ,3.0,1.0,10.0,1.0,0.6015416666666666,0.7654874535947712,0.9447622062999557,0.8128795534634421,0.7387518621933984,0.9360567307905961,0.8640876621944097,0.8882990562043666,0.9865647131594475,0.970217494573776,0.8418532713534448,0.9757539367238861,0.9354345522278622,0.8520449154420286,0.9785558023477291,0.9450321166188015,0.8131546270750106,0.9637944660838726,0.8865816287655824,0.9209879216873619,0.9936940307899537,0.9925799723876445,0.8665771162907747,0.9829586940181018,0.9711876997270825,0.9328625231279648,0.8873908787715508,0.12065739688499008,188.15215650501617,5.520054178797834,0.9770165579791362,0.054485742415009045,6.9640265315825935,6.773523811641765,0.116141126675304,200.55004733444144,5.94526593469584,-0.5755076413874419,9.737464662687026
away_HQ,4.0,1.0,10.0,1.0,0.6035,0.7634328866325006,0.943753715480208,0.8075766727164961,0.7154310870605463,0.923770029263886,0.8463906452038646,0.8564195128634478,0.9778857245557191,0.9536075004646989,0.7922441140097353,0.9578868153858207,0.9014464804879445,0.8053907361377679,0.9626780398179003,0.914068436102906,0.8110594522672115,0.9629589045811535,0.8830341445898517,0.9212893528985341,0.9937443654360191,0.9924274393757369,0.8658091261725034,0.9827982898125242,0.9710236722853605,0.9133434250511959,0.9138465837150603,0.1106636058957101,183.82130715798044,4.404340811680535,0.9851673524024954,0.041551314605482316,8.346303508432777,8.334136562006336,0.10714868204974567,183.44780833441163,5.133937038836624,-0.5725792561001927,9.721469666551775
iso,0.0,0.0,10.0,1.0,0.6007916666666666,0.8913142727152362,0.9887026536388412,0.9985699059614771,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9229367643454376,0.9943117194377187,0.9990226940307307,0.9495696776352527,0.9975325757918198,0.9991498181850454,0.9339312069763515,0.9957786726673254,0.9991609240194571,0.9102627321911897,0.9922448931006403,0.9993225269564782,0.8776185596028535,0.9860084348737056,0.9929743159170236,0.9235110666843811,0.9236424791851211,0.8073055787656448,14.4750035127352,3.803685733642256,0.6418194341283678,0.22138226798282057,-0.03620240730265522,-0.008653480466499632,0.9593268070644921,4.881454865577362,2.88606766880977,0.0021954499813686985,9.827359106406593
iso,1.0,0.0,10.0,1.0,0.6017083333333333,0.8877532143040618,0.9880062659258765,0.9984507279317582,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9301391299815194,0.9957170774813969,0.9890206975551802,0.9509216029490621,0.9978575163086507,0.9935184589886112,0.9311209246787342,0.9954739899322745,0.999382157712232,0.8706479436378306,0.9836382324064457,0.9820235598110737,0.8652179508707774,0.9834559536795658,0.9762453051975895,0.9289607027935177,0.8997203708431112,0.6339957366459645,24.913720079371846,4.93308514023034,0.712750598657445,0.19916096142950812,1.2343558955466702,1.3239109734915806,0.7208960148947572,18.511812624916264,4.674724777561832,0.033562311697434774,9.796239392082843
iso,2.0,0.0,10.0,1.0,0.6029166666666667,0.8860458239875201,0.9875084369384559,0.9968151522513014,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.8817178873163326,0.9866969895014308,0.9562901093794123,0.8931066772956454,0.9887811234952506,0.966503742316067,0.9299343539245496,0.9952762001211068,0.9987717824596798,0.8349080176258752,0.9735536244566904,0.964072220715925,0.8603917664285208,0.9822675543764835,0.9656469689210393,0.9185150927930343,0.8830248888583851,0.48396368352510144,32.96787770058479,5.722904380011345,0.7839593264796509,0.17116192210691783,2.227195086036591,2.3713313550356863,0.5158802827388035,30.144059296479895,5.370203630264412,0.04629896581724378,9.803805873415454
iso,3.0,0.0,10.0,1.0,0.6015416666666666,0.8862772624959292,0.9875692443780462,0.9973698432650666,0.7387518621933984,0.9360567307905961,0.8640876621944097,0.8882990562043666,0.9865647131594475,0.970217494573776,0.8240270168418395,0.9695223810329343,0.9156517255199363,0.833719751375163,0.9722373876872534,0.9306497496895274,0.9305119031077868,0.9953493127484095,0.9988338597003905,0.8129682011370851,0.9659602186517742,0.9521813742352333,0.8540042278608961,0.9805456374656857,0.9550913054045342,0.914116589770483,0.8922361381552093,0.3750324899835745,57.564023985097066,4.948608903420378,0.817476965349407,0.1549673255889674,3.042322669172054,3.21973842077007,0.42358444891123703,54.43493645805071,4.934024824565485,0.06391833806776782,9.786847159222491
iso,4.0,0.0,10.0,1.0,0.6035,0.8836285234724182,0.9869594872993178,0.9966494075901642,0.7154310870605463,0.923770029263886,0.8463906452038646,0.8564195128634478,0.9778857245557191,0.9536075004646989,0.7889605032811364,0.9559839147241354,0.8912373882603453,0.7969792854148592,0.9586906414825273,0.9064559619898065,0.9279084241429937,0.9949969635728997,0.9984953566310395,0.8073058325750616,0.9638512217606159,0.9484527556882137,0.8469541550026987,0.9784920652611139,0.9475930003262986,0.9103921896822168,0.9045383087689776,0.5068421037579932,78.00437035684187,4.300087044901155,0.8320922744098286,0.14553254954461486,3.5659936183689895,3.7892712502429924,0.5430427817156941,39.5397877267542,4.331915798981274,0.0727181409385806,9.795722528395673
