beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_eff_coef_obs,diag_eff_coef_true,cfg_niche_shape,cfg_quality_link,cfg_env_corr,cfg_propensity_learner,cfg_retain_rate,cfg_n_occ,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,regime,coef_gap,dess,t2_ipw_beats_filter,t3_collapsed
0.7157392547017447,0.0,6.0,3654,1,blend,obs,0.603,0.9527342840196766,0.9978406423063488,0.9995615881643759,0.9016201511658228,0.9919089245161815,0.9740624835176469,0.9853438080278419,0.9997631986764852,0.9992846712246947,0.9703129983550085,0.9991658784756579,0.9999828641319014,0.9809539495731466,0.9996549641337786,0.9999660871626813,0.9664540535721209,0.9989070251707624,0.9997252503517251,0.9127489410671448,0.9925087887925291,0.9936622927628609,0.9401802375682756,0.9966680541360328,0.998893888214331,0.9719787384548767,0.8992439068781227,0.8501545986948971,9.205968583073833,4.135940236355409,0.6777090385371399,0.21556160719473466,1.1224245798822787,1.1609953030373874,1.3857616448058365,1.1617504669752723,1.4109161797755387,gaussian,linear,0.0,logit_quad,0.6,3000,0.34985438375504896,0.34358176201456647,0.2568381722613242,0.297296545043527,0.9227516143190739,1,12.0,0.01010696538211851,0.30130186044833096,0.8524280994453679,0.9840304440910327,0.991854886043041,0.9999828672196603,0.9171065630246358,0.2372464990833706,0.40542138150858387,0.9999828672196603,1.0,0.8800080095709445,7.347164885115171,3.806646997219856,0.006272621740482447,5.92348034495837,iso,0.03857072315510868,0.029853410876047426,1,0
1.4820021084321922,1.0,10.0,3549,1,blend,obs,0.606,0.7796941129190424,0.9595525820574272,0.8587609631796049,0.8280133689544483,0.9728757992505354,0.9343772304492031,0.9658315789195216,0.998783000150526,0.9982694040288745,0.7886907327521129,0.962439656960869,0.8815107578283952,0.8028739048187736,0.9664134698654817,0.903373721883915,0.8064942294681534,0.9678926360920601,0.8976414208009017,0.7928415801372551,0.9587685625081134,0.9506706752844555,0.7621522098365412,0.9520378342043617,0.8224895525884468,0.7931506827755682,0.9224181940162318,0.9222766619624989,4.0481704266899055,3.7031258036045256,0.6544125859286437,0.21882857082901416,-0.39615402577444025,-0.2731082203413151,2.552477176010241,-0.7005007738357487,2.575553494242903,gaussian,linear,0.0,logit_quad,0.6,3000,0.5411115574912413,-0.1688341662439839,0.2172193093305742,0.25403714208304495,0.7971884067800902,1,12.0,0.05118646107397687,0.32954279515617224,0.659153568287338,0.9241926820575793,0.9127466861301848,0.8815070203396427,0.7461178148737321,0.12593301664470943,0.4611235197209328,0.9241926820575793,0.25,0.9735048479437225,2.5151836072695453,2.853891474755058,0.7099457237352254,9.946269383293767,toward_HQ,0.12304580543312515,0.051228185981223584,0,1
3.16207298341306,1.0,16.0,7212,1,blend,obs,0.599,0.7189742759581743,0.9241663014926493,0.7344761342016809,0.7113163151046604,0.9282208959065898,0.8600680636702622,0.8750295803021059,0.9854782884097842,0.9718537055771026,0.7854405728204249,0.9610219286523359,0.91423913235739,0.8066352873560442,0.9685297573087801,0.9289816684833725,0.7861219428310935,0.955636299410321,0.8693131016124735,0.9101617173518592,0.9923682783632509,0.9923044681319592,0.8958719754498897,0.9894501638119958,0.9691792244786613,0.894124857893003,0.9228708613208976,0.011415387142900133,393.41119091057976,4.403547727767746,0.994687506794135,0.025559116083718428,9.05871203358832,9.146522985663369,5.850328000287073,8.049236372072572,5.784763571103426,gaussian,linear,0.0,logit_quad,0.6,3000,0.7805003327536411,1.4416760176712868,0.16248491348477564,0.18742914857434473,0.7588213053058009,1,18.0,0.10477516196467282,0.3112164194033056,0.522096211364129,0.8934333900682864,0.8982022135192143,0.9143130416790494,0.9808595667768719,0.8710446089359964,0.46166021419521186,0.9808595667768719,2.0,0.007165293006439788,496.8889815031232,5.800652778041712,-0.6611756849176457,15.633152889975621,away_HQ,0.08781095207504919,-0.004250094136460346,1,0
2.611139210740528,0.0,6.0,2983,1,blend,obs,0.6033333333333334,0.9152677606473237,0.9933311649945132,0.9989113190789302,0.7361658078223607,0.9405999415975029,0.8785459661301837,0.9294692258395668,0.9951166743430083,0.9915888194320603,0.8536576120073264,0.9808879377399099,0.9462608270714448,0.8621282967642845,0.9826326301042261,0.9546809854192635,0.9446833369289128,0.9971490784010296,0.9978027600829453,0.8115632105496684,0.9679006013471636,0.9548170618593286,0.9020101800908986,0.9912708230304407,0.9896269674741299,0.9075140385677183,0.8703005322227931,0.4532554330209299,36.174193514953444,5.387376766487826,0.8123369237197642,0.15947517990226556,2.609701104363941,2.681108895473124,4.779740649732332,2.8760397449367288,4.806883738650473,gaussian,linear,0.0,logit_quad,0.6,3000,0.7267815520751095,0.6429741617192353,0.17569656957590069,0.2704051163464555,0.84876275080391,1,8.0,0.0621037938826482,0.2698617524494534,0.6510613971085423,0.8928264635708546,0.9087557770876973,0.946262316168804,0.9618059619389911,0.640740261771378,0.36758926441735207,0.9618059619389911,2.0,0.5593383917408549,24.53292860255896,5.5749508145134286,0.08380739035587434,5.959613919799619,iso,0.07140779110918327,0.10608295871992496,1,0
3.867848800649562,1.0,16.0,2824,1,blend,obs,0.5906666666666667,0.7438212318686989,0.943939624009038,0.8441952085146545,0.706500030986918,0.9241318184743632,0.8672350562096368,0.8504263035872195,0.9790070234528174,0.9623180780675019,0.7271392847767765,0.9362849152364539,0.8427043871296187,0.7376345618571787,0.9402713586652587,0.8638870043785278,0.7698058300449743,0.953599663663832,0.8855839162446826,0.6763098466339149,0.9044437905570362,0.9032288888868486,0.6860138204519222,0.9198691362609788,0.7168940678832822,0.8352006021413514,0.9185119856723089,0.8404863304998117,11.478430677466415,4.569622903581531,0.6572922717480018,0.22022069108983897,1.285265848254537,1.4283380215555648,6.921063358463958,0.3154710296143461,6.787109802755881,gaussian,linear,0.0,logit_quad,0.6,3000,0.8031522774615634,0.04555093482572464,0.1514905067588948,0.22250400621940813,0.7604058872204542,1,18.0,0.11213919516050004,0.30338357623076967,0.4993365449804807,0.859999592502355,0.8564052772428975,0.842705576452569,0.7634189831404403,0.10430940900530344,0.4664823956616043,0.859999592502355,0.25,0.9124779539571349,7.640866745095651,3.679303081917163,0.7576013426358387,15.77564511818415,toward_HQ,0.14307217330102784,0.07199162345732324,0,1
3.0109283883163465,1.0,10.0,5151,1,blend,obs,0.5993333333333334,0.742084709997155,0.9339113930471288,0.7699478935436407,0.7162825100962218,0.9308345407812288,0.8556418919322749,0.9327530390274652,0.9954137448972878,0.9889487450843505,0.8585392606577449,0.9823162646309349,0.9451645162341721,0.8814080977404294,0.9869778083212086,0.9602120286558525,0.8408452197230994,0.9730399374612604,0.9330653482843919,0.8319687260647377,0.9753265824228633,0.9685035937708432,0.8577402518898669,0.9813924207699907,0.9984879129167372,0.9126243939685329,0.8424662037799889,0.20662860678292244,60.42869374342717,7.784929526805724,0.9628261388601497,0.06901017269930834,4.781812659324702,4.6795277409366856,5.694250292142641,5.247209209408833,5.706527592447396,gaussian,linear,0.0,logit_quad,0.6,3000,0.7434019716862976,1.290851303729303,0.15662132247401406,0.28918030448285786,0.6231659214987623,1,8.0,0.1504448172709439,0.3708383766693386,0.4223438897578469,0.8811798914157275,0.8994253960660273,0.9451367505042255,0.8964691699951655,0.6354100485738812,0.3561454047690419,0.9451367505042255,1.0,0.28318298115186075,43.29748982778817,8.903218773562976,-0.5474493320430052,9.839601405077829,away_HQ,0.10228491838801634,0.0765543743689383,1,0
3.30358103350228,0.0,10.0,4601,1,blend,obs,0.599,0.8751054473400921,0.9853746333599076,0.9936925014037209,0.7095438596769337,0.921565269645876,0.83507345328676,0.8647354764343389,0.9806693226391496,0.9595262697415277,0.7837900038691983,0.95471534590637,0.8841625125784016,0.795492957243316,0.9585100926054924,0.904270263732512,0.9160903388120156,0.9935510478668811,0.9954607607772229,0.8012181796420305,0.9618106830379871,0.9400169552552959,0.8416806095181214,0.9777086797047178,0.9394921438552737,0.8963786310864378,0.9070020273513995,0.8198448620816156,11.012082489638704,3.944640274428617,0.7997088987788366,0.16207927348023454,3.019693532213339,3.2504553550982958,5.952324297743512,3.3083530822386003,5.9561301264530435,gaussian,linear,0.0,logit_quad,0.6,3000,0.7287232425872764,0.6397951328704098,0.1576465801375262,0.2756721415355862,0.7941984536134874,1,12.0,0.06921917122628533,0.2835223741088063,0.5560287107254074,0.8443472673792416,0.8572398258896673,0.8841685418988893,0.9436800502010709,0.8453987175089246,0.5541227625389724,0.9436800502010709,2.0,0.772094598314489,14.073524364421601,4.203021150748477,0.08892810971686664,9.798765213717358,iso,0.23076182288495684,-0.047750263767126544,1,0
1.1115968620006362,1.0,10.0,2263,1,blend,obs,0.5926666666666667,0.6949950764909203,0.9254877629430002,0.716585970813787,0.8323052831927674,0.9769619721665859,0.9331853047584024,0.9701963172407823,0.9990724080762059,0.9968099402514896,0.7281448916114494,0.9413452326637272,0.7929029294969032,0.7654153330585202,0.9563731819783153,0.8626353814668337,0.7631382172565607,0.955549468682724,0.8563047217231632,0.7731190520769914,0.953864894810747,0.9394725135907231,0.7783499995581147,0.9592298657980753,0.8539819886690342,0.7482304385148308,0.8583442057901625,0.550917469002711,22.440948591167697,5.769478956366384,0.7527923575837799,0.1926748714632597,-0.9562715749788845,-0.9271254097211987,2.0638588019305977,-1.6641975361370673,2.071210445041555,gaussian,linear,0.0,logit_quad,0.6,3000,0.48865240407447946,-0.45098398411657026,0.2401808861920508,0.2945301409844199,0.6214631024044884,1,8.0,0.09236540972142455,0.4330614381079727,0.5546115748411843,0.9109421423859667,0.8832455616840772,0.7929117890779103,0.3872249495745277,-0.0163449624544639,0.23787695637683637,0.9109421423859667,0.25,0.9455003068043049,3.6680708983362225,3.0722961603990098,0.9396363881910499,9.954796392174128,toward_HQ,0.029146165257685763,0.39458283780159387,0,0
2.1032673733809935,1.0,6.0,2707,1,blend,obs,0.595,0.8279328795125229,0.9693974355574917,0.9049036306589564,0.7658945458633489,0.9492694400306754,0.8896556133341302,0.9106262522668389,0.9915874448567765,0.9843495826620667,0.9348455452968436,0.9959203384368869,0.9889494391284648,0.9343183709583691,0.9958219574677513,0.9894516590021827,0.8440166877251213,0.9745306792284651,0.9208490438221536,0.9478569108637176,0.9969381791018223,0.992066977354581,0.878071517175952,0.9850980624888804,0.9665882552597915,0.9657666230848325,0.8261649491306964,0.2073930532458395,51.16732635529409,9.61008919096233,0.9597235766734677,0.07699035453908026,6.1043194003901595,6.015445906705031,4.201424505747269,5.906242065493669,4.213070885507703,gaussian,linear,0.0,logit_quad,0.6,3000,0.6914214218192078,1.1056956713285124,0.18926151650885562,0.21695320796928952,0.9239464712091743,1,12.0,0.02655537962623206,0.23691335349377696,0.7988638619047996,0.9319556434415617,0.9524475534316693,0.9889860534702565,0.8870554779234302,0.6725158486852888,0.39489359612339925,0.9889860534702565,1.0,0.20101569214884993,51.19644678009991,9.338748037079023,-0.4142742495093045,5.907204783409278,away_HQ,0.08887349368512876,-0.006377361096989581,1,0
0.051361929467226286,0.0,10.0,4477,1,blend,obs,0.5993333333333334,0.8813582607378274,0.9864719211240355,0.9962373648772047,0.9793281340091344,0.9995944389707622,0.9986011361312979,0.9858031337626619,0.9997788079189183,0.9992270801150926,0.9142142108703614,0.992930468912374,0.9978853772619883,0.9397936605558154,0.9965229709692872,0.998647054811559,0.9233347336728079,0.994318573954112,0.9976762148118324,0.9144751386405386,0.9929582512685978,0.9993777734627767,0.8846049172028492,0.9874523879901629,0.9918818871374235,0.9165596093908208,0.9156580491730847,0.8638025453562569,8.662330797606744,4.317831268370649,0.6579507365366214,0.21823138853448715,0.1958407367848508,0.251626016290493,0.2509253283746979,0.3064203669609315,0.2367153943421199,gaussian,linear,0.0,logit_quad,0.6,3000,0.06788255309985763,0.09290835903524963,0.2846161886146576,0.39354409032908927,0.7973421551971608,1,12.0,-0.007255235788415387,0.38775601950122507,0.7340084339135795,0.9989100625491201,0.9989584206405482,0.9978853660925546,0.95661854533967,-0.6869952136406349,0.2830450159397231,0.9989584206405482,0.5,0.9471016923204042,3.981713030773803,3.4351942214172153,-0.02502580593539198,9.791739918985883,iso,0.055785279505642216,0.08329914696414731,0,0
