regime,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
iso,0.5,0.0,10.0,0,1,blend,obs,0.601,0.8958172671438067,0.9895618474591308,0.9980840807792517,0.9259372388476391,0.995336832515242,0.9858340655473085,0.9698691972040842,0.9992727760407697,0.9980798149232176,0.9334717982941428,0.9957950690089176,0.9954607247884152,0.9588017843399228,0.9984154794961694,0.997641290866829,0.9378314593727097,0.9962649292517738,0.999100222098408,0.8914749739983843,0.9884362927510489,0.9937332228076202,0.8773397470555695,0.986108461104602,0.9871970501969007,0.9243741432355463,0.9139906661218318,0.7630733069573513,13.73393437039043,4.334617490615866,0.6648586709888049,0.21442248032215305,0.6029728949874396,0.6705093624490819,0.9647406951190648,0.2602060534406907,0.23001084014225137,0.2666315198807488,0.3621307356847151,0.9883606512504836,0.9910207919420082,0.9954609354326607,0.94001809174302,-0.18999938034605884,0.4012662201214279,0.9954609354326607,1.0,0.8904072762474045,8.66131648572796,3.6583893981383855,0.030195213298439348,9.799146368904658
iso,0.5,0.0,10.0,1,1,blend,obs,0.6016666666666667,0.8963440754902143,0.9897462912087089,0.9989506199341498,0.9232402797341468,0.9951129164258633,0.9842207744505436,0.9938634430067032,0.9999623012663723,0.9999318297230156,0.9370826653654808,0.9963525813016401,0.997823880191582,0.9611166107879489,0.9985969875586106,0.9990313361243726,0.9379533489363472,0.996336842446629,0.9998594527116061,0.8890488992338641,0.9878337810584704,0.9916708788475261,0.8680066423763613,0.9841722474148398,0.9846872911045548,0.9335808571960929,0.9176504836125361,0.1599727571420707,96.22589326853027,3.9430549619130812,0.6719410285237427,0.21302051149838105,0.7098934683166045,0.7693296793364739,0.9393313292273066,0.2564045191807393,0.2486484938535425,0.27353809527007,0.3617032812770614,0.9879873068445012,0.9916509243253627,0.9978235502169301,0.9539303629167448,0.006752723023943288,0.4821983655863097,0.9978235502169301,1.0,0.7794297324541476,18.456880161031638,3.5275131234016204,0.007756025327196809,9.87302591260402
iso,0.5,0.0,10.0,2,1,blend,obs,0.6073333333333333,0.8885914274018423,0.9880872805896221,0.9965216596776816,0.9273855786203093,0.9954771703352394,0.9848994109054461,0.9854349360824064,0.9997524518426394,0.9991196795950809,0.9261214978818506,0.9949773570373106,0.9952096157062867,0.9522634031371234,0.9979442479586419,0.9974512680122108,0.9300912392646221,0.995316711280557,0.9986809328066248,0.9068049640656884,0.9912662900302109,0.9938108880122636,0.8653173836127221,0.9830750207512701,0.9754230818137426,0.9296290917818799,0.9215970094148154,0.7207573338740347,21.18500069727364,4.061822783216,0.6608647095767818,0.21384598841617689,0.6053603654556029,0.6707805783946247,0.8419134029574545,0.23417965685855674,0.23942470180278905,0.274701424855544,0.36828378003088047,0.9878053022477518,0.9904578308543993,0.9952100637124406,0.9713038983085978,-0.14720800021436956,0.3563993411944273,0.9952100637124406,1.0,0.9292098496004167,5.28526983041656,3.2499272606778247,-0.005245044944232297,9.823846362510269
iso,0.5,0.0,10.0,3,1,blend,obs,0.598,0.8914684365849241,0.9886321820187893,0.9955924630829791,0.9520226515150687,0.9981181817926632,0.9936186053357503,0.969938420998898,0.9992643145625311,0.997473747619589,0.9378208740024481,0.996310111400701,0.9973099447514495,0.9604438132155182,0.9985462489394097,0.9981744017933168,0.9333407761198127,0.9956674106062794,0.9973239775883849,0.9056612119464751,0.9912979618620398,0.9976940415046791,0.8880138848159614,0.9883158006847627,0.9947295227680847,0.934047635852939,0.9263533027844632,0.7643655745394863,20.36984581310627,4.0334945494352725,0.6557927105461174,0.2176061638323449,0.5485249158052904,0.6204697225018609,0.9222906525956999,0.2558107019438454,0.22877525456229372,0.27709552425202244,0.3737420479640329,0.9954670285139058,0.9970168517853994,0.9973105389859169,0.9237236256377295,0.07943602385148776,0.43360915800162325,0.9973105389859169,1.0,0.9232805189589848,8.712532153282494,3.4069708597787813,0.02703544738155169,9.851360508958026
iso,0.5,0.0,10.0,4,1,blend,obs,0.6003333333333334,0.8990568034386313,0.9902878791826161,0.998092711172293,0.9365297666671868,0.996695886566539,0.9892747042075059,0.9826427101477284,0.9997287042278465,0.9991426757830413,0.9382506921797571,0.9964858913810357,0.9968334033541044,0.9609257622648625,0.998636095539361,0.9979256957337199,0.9408551683159195,0.9966781823035037,0.9989698447624223,0.891349017509557,0.9883584883270544,0.9931057360987369,0.8813776845298196,0.9871672220787345,0.9896177772318253,0.928715663546719,0.9283907585765525,0.9228570827047006,4.530271502555577,3.692344518890762,0.6407643978718153,0.21980360453298523,0.4677160780908609,0.5309618198577382,0.7752043446078762,0.2147408027657121,0.18326473760927298,0.2782719343531513,0.3725318668900859,0.9914692755075463,0.9934764838317036,0.996832867508824,0.9716681000625316,0.2146124986673641,0.5610778034828318,0.996832867508824,1.0,0.9599551419534749,3.61901459805707,3.164189273604937,0.031476065156439116,9.805840505838708
iso,0.5,0.0,10.0,5,1,blend,obs,0.599,0.8941561619371002,0.9893289640556808,0.9991595196258118,0.9385976063294804,0.9968845410455563,0.9893931273720541,0.9871168630751941,0.999862853653805,0.9995462734024755,0.9388499124949825,0.9964983951808296,0.9987494220268717,0.9640325365302221,0.998786149461476,0.9993967203076218,0.9373980498143719,0.9962398956400036,0.999561732528733,0.9036509226573635,0.9908342982318552,0.9949114790028175,0.880916246127665,0.9870605071044825,0.9891725649456273,0.9371493414832205,0.9283081860474981,0.8672381892212547,11.560782596697104,3.769868577923172,0.6423053847481093,0.2195521480675355,0.580146678139825,0.6365285456211309,0.8854472553360502,0.24206218568808036,0.21724323775965154,0.2780695154983253,0.374801973222468,0.9921425797552377,0.9947398133970106,0.998749123790978,0.9589246697786135,0.24940763066487523,0.5254998132914076,0.998749123790978,1.0,0.9438484053011021,5.349508650284128,3.175479180331995,0.024818947928428804,9.808603397816684
iso,0.5,0.0,10.0,6,1,blend,obs,0.616,0.8782135607820836,0.985764150804108,0.9964025631942692,0.9326290534892536,0.9962915259141574,0.9872306265378656,0.9910211003909676,0.9999122365078535,0.9998289413537753,0.9347237852954572,0.9959765648795894,0.9987625325086308,0.9558300354983816,0.9981558054999334,0.9994791635965505,0.9208627477353699,0.9939641176553686,0.9984032071737718,0.913017322529332,0.992537616550124,0.9943570894076551,0.8775016471258399,0.9860638228805446,0.9895005189821252,0.9386803507103979,0.9247845252461969,0.6677539844828406,26.562592010062613,3.790790655958179,0.6710924347643097,0.20876395483042323,0.7114968609160397,0.766805682337081,0.9030680539952484,0.2553416873322203,0.28033639676533506,0.2841564749385873,0.3809314383419281,0.9908015503282857,0.9940965810626073,0.9987629495320518,0.9480428789266286,0.11658473848751601,0.49786743997511296,0.9987629495320518,1.0,0.8547579259013021,13.95093410402503,3.3644167635357847,-0.024994709433114777,9.851660843317498
iso,0.5,0.0,10.0,7,1,blend,obs,0.5973333333333334,0.8964205655861699,0.9898291856217827,0.9995678710666263,0.9108719452850226,0.9931440740384782,0.9788654641522739,0.976073690587762,0.999424190303706,0.998661113453491,0.9228591950566623,0.9946060594092231,0.9930821070768179,0.9506165570421732,0.9978677492411984,0.9966243741675368,0.9407383570438943,0.9966748992173494,0.9998668892391082,0.8814665621043716,0.9860818038947187,0.9888735457403162,0.8692926027557462,0.9843804690665992,0.9864035149121242,0.9197630167728099,0.909309144458198,0.8216232795790639,10.281289731085083,4.479654138969762,0.6712790843779564,0.21401946809707414,0.701134771552503,0.7586329365845382,0.9551499811070296,0.2533139970129781,0.2481010269123461,0.2716474236456885,0.366517835647967,0.9821592916397618,0.9857147096935687,0.9930803622004305,0.9517410664024692,-0.39461592768848947,0.1981107240246679,0.9930803622004305,1.0,0.8943825127508428,8.697974891512015,3.9828031377903548,0.0052129701006319975,9.811456047762384
iso,1.0,0.0,10.0,0,1,blend,obs,0.602,0.8864525433847421,0.9876797522474529,0.9981527595744557,0.8616424943736767,0.9828022915005776,0.9533261150112837,0.952936385433316,0.997916641396699,0.9951914390173495,0.926381049268648,0.9951248197017131,0.9859712009263553,0.9468180122648026,0.9974873791653582,0.9916555147923459,0.932085684917586,0.9955715470877448,0.9993909707279449,0.8662705500347099,0.982467538615929,0.9826317462453469,0.8752882337138439,0.9856516240682572,0.9807130961688908,0.9289391115335693,0.8921291059891808,0.2602532450061326,68.85610826855925,5.387478916268399,0.7248759949618895,0.19423467020438429,1.377213106965708,1.4816811680612,1.9614191779164032,0.45094288433068896,0.4344114688488061,0.23414591320390782,0.34714189862469885,0.960444553396188,0.9687180114151942,0.985972038773351,0.8768924005091456,0.23693836836395396,0.38722063425836306,0.985972038773351,1.0,0.36117158607727656,53.46647402696863,5.07506923458144,0.0165314154818829,9.784884425711784
iso,1.0,0.0,10.0,1,1,blend,obs,0.596,0.8843885148378361,0.987286063051812,0.9984515394058442,0.8535237546379304,0.9813694213896573,0.9473165223626675,0.9669851185698557,0.9988904878474958,0.9975414661710895,0.926074505389921,0.9953968817048677,0.9880340807667776,0.946387575538713,0.9976315341491551,0.9925257842770018,0.9280926212173416,0.9951166535202277,0.999736470755175,0.8622825937908338,0.9817090958952964,0.9794324372552319,0.8536230484918675,0.9806047020017661,0.9675985889991834,0.9316636682726398,0.8892761113994196,0.35625985227597406,43.071110584045265,5.607120457665905,0.7315902311707682,0.1943859208276684,1.373352193096907,1.4498869311179545,1.9736798969793354,0.45893307698084773,0.43500233519918796,0.2385805624760321,0.3384295312602447,0.9565311159250257,0.9665219353708602,0.9880348078228051,0.8962624219794463,0.32479134003702753,0.41035200779167336,0.9880348078228051,1.0,0.5424238703094182,25.456463263986368,5.194056084397081,0.023930741781659777,9.806820222459825
