species,pair,ipw_gated,env_auc,ess_p99,schoener_D,warren_I,spearman,range_top30_pct,top10_jaccard
Astacus astacus,ALL->FILTER,True,0.923563478585081,0.1726183682029079,0.6145944288886704,0.8749435422950442,0.8369706315764357,-14.083333333333336,0.4731222385861561
Astacus astacus,ALL->IPW,True,0.923563478585081,0.1726183682029079,0.6580792257583707,0.8924663797831316,0.8519507524138369,1.9166666666666776,0.514004542013626
Astacus astacus,FILTER->IPW,True,0.923563478585081,0.1726183682029079,0.8259277507396681,0.9685302536607696,0.8527244392726189,17.450000000000003,0.8006300630063007
Austropotamobius pallipes,ALL->FILTER,True,0.9596390410241702,0.028273471016958138,0.7546636305940132,0.9247496847235287,0.883298534547428,-9.733333333333336,0.5942606616181746
Austropotamobius pallipes,ALL->IPW,True,0.9596390410241702,0.028273471016958138,0.8265760328466265,0.9619277814760946,0.8946380685401067,-1.0333333333333306,0.7286084701815039
Austropotamobius pallipes,FILTER->IPW,True,0.9596390410241702,0.028273471016958138,0.8529956799642973,0.965497930101327,0.8809663675420774,7.983333333333342,0.695633743111488
Pacifastacus leniusculus,ALL->FILTER,False,0.8652908231159804,0.7087938796693442,0.7987473530370804,0.9504556020853825,0.92729317072282,-19.28333333333333,0.6191825171995143
Pacifastacus leniusculus,ALL->IPW,False,0.8652908231159804,0.7087938796693442,0.8209239727538776,0.9604605531816643,0.9356064092537498,-10.999999999999991,0.6333197223356472
Pacifastacus leniusculus,FILTER->IPW,False,0.8652908231159804,0.7087938796693442,0.932977226647496,0.9933441066983207,0.9489050211376658,7.550000000000001,0.9116101290014333
Procambarus clarkii,ALL->FILTER,True,0.735777091593975,0.2804303055066239,0.8257650503502247,0.9718646466870774,0.9071983669412629,-13.466666666666665,0.6359918200408998
Procambarus clarkii,ALL->IPW,True,0.735777091593975,0.2804303055066239,0.8579595720490493,0.978712412862981,0.9183448413392999,16.383333333333344,0.6917547568710359
Procambarus clarkii,FILTER->IPW,True,0.735777091593975,0.2804303055066239,0.8868567402402606,0.9899134971474529,0.9681856153292318,31.933333333333337,0.743355119825708
Faxonius limosus,ALL->FILTER,False,0.7508297331853415,0.5119751643999805,0.8580587442847958,0.9691839592340997,0.9397811716451514,-8.883333333333336,0.7123287671232876
Faxonius limosus,ALL->IPW,False,0.7508297331853415,0.5119751643999805,0.8748990802279968,0.9744002830188953,0.9454052921865966,-3.6999999999999997,0.7421602787456446
Faxonius limosus,FILTER->IPW,False,0.7508297331853415,0.5119751643999805,0.9260484909285305,0.9929911010637961,0.9587752297363409,4.933333333333345,0.8561484918793504
Pontastacus leptodactylus,ALL->FILTER,True,0.617430429361673,0.0495996530849069,0.8155387418687732,0.9623213460618688,0.9385891491279703,-28.133333333333326,0.564945226917058
Pontastacus leptodactylus,ALL->IPW,True,0.617430429361673,0.0495996530849069,0.8556311445986189,0.9759066780962393,0.9512604371358455,-4.866666666666668,0.5936254980079682
Pontastacus leptodactylus,FILTER->IPW,True,0.617430429361673,0.0495996530849069,0.8859072668397765,0.9852942221911202,0.9525000422276422,20.400000000000013,0.7513134851138353
Austropotamobius torrentium,ALL->FILTER,True,0.6091796603622964,0.14625863950662865,0.6750958011627417,0.907542006332724,0.8354030521233233,-8.683333333333321,0.6135538523598225
Austropotamobius torrentium,ALL->IPW,True,0.6091796603622964,0.14625863950662865,0.7031969273099323,0.913994674144982,0.8228029460330587,1.8166666666666702,0.6070711128967456
Austropotamobius torrentium,FILTER->IPW,True,0.6091796603622964,0.14625863950662865,0.8460400851088484,0.9685370236580154,0.825693102468387,11.50000000000001,0.7444395987788923
