learner,species,strategy_vs_all,schoener_D,warren_I,range_top30_pct,range_top10_pct,top10_jaccard,mean_abs_diff
rf,Pacifastacus leniusculus,filter,0.8136887354353375,0.9575456718387167,-19.81666666666666,-21.60000000000001,0.6687526074259491,0.033222177931710006
rf,Pacifastacus leniusculus,trust,0.8537334278667389,0.9800327673538299,-16.983333333333334,-31.300000000000008,0.7174753112924002,0.032580863999580316
rf,Pacifastacus leniusculus,ipw,0.813422158422926,0.9560469113646319,-12.549999999999988,-4.350000000000007,0.6576875259013676,0.0390689782847736
rf,Pacifastacus leniusculus,ipw_str,0.8137946332228181,0.9560395177220229,-11.816666666666661,-4.7500000000000036,0.6556291390728477,0.03909039458845004
rf,Pacifastacus leniusculus,filter->ipw,0.9301109287043906,0.9949386421885906,8.765205799033492,14.599999999999987,0.8665422305179654,0.015907692256585615
rf,Astacus astacus,filter,0.6394209774613473,0.8905427221629144,-15.966666666666667,-51.55,0.48093298778230287,0.04685656634559709
rf,Astacus astacus,trust,0.8011602188528758,0.9708890937091175,-5.5833333333333295,-40.00000000000001,0.7040034071550255,0.03269477376771074
rf,Astacus astacus,ipw,0.6545448639580499,0.8971526705477393,-14.049999999999988,-47.75,0.49868864743349567,0.0452062479551478
rf,Astacus astacus,ipw_str,0.6545448639580499,0.8971526705477393,-14.049999999999988,-47.75,0.49868864743349567,0.0452062479551478
rf,Astacus astacus,filter->ipw,0.9341079223775687,0.9932326402553752,2.2166666666666632,3.049999999999997,0.9203072491598656,0.007305765118298474
rf,Faxonius limosus,filter,0.8656774569094128,0.9720408782336003,-9.366666666666672,-6.700000000000011,0.7278617710583153,0.03220969698447515
rf,Faxonius limosus,trust,0.8762446670916797,0.98315322169708,-14.616666666666667,-13.300000000000004,0.7723649247121346,0.029536947348986365
rf,Faxonius limosus,ipw,0.8332186690176725,0.962276596793247,-6.033333333333335,-0.6000000000000033,0.6366612111292962,0.044963328975949346
rf,Faxonius limosus,ipw_str,0.8338574309781193,0.9626521116135023,-6.099999999999994,-0.20000000000000573,0.6410992616899097,0.04481560892902865
rf,Faxonius limosus,filter->ipw,0.915292875202349,0.9918617957858384,1.5666666666666793,7.449999999999998,0.8042399639152007,0.021384198484759337
rf,Pontastacus leptodactylus,filter,0.8241662602321805,0.9684696394973448,-28.17863689385102,-44.9,0.5570260801868431,0.0366750028976899
rf,Pontastacus leptodactylus,trust,0.837258945071901,0.9760239147132297,-26.39560073321113,-47.7,0.5797788309636651,0.03643287339267404
rf,Pontastacus leptodactylus,ipw,0.8498452284855432,0.9770343483950474,-14.980836527245458,-32.050000000000004,0.5754233950374164,0.033531041437816364
rf,Pontastacus leptodactylus,ipw_str,0.8491724678781479,0.9767737795459366,-15.864022662889512,-30.050000000000008,0.5779092702169625,0.033667160467369416
rf,Pontastacus leptodactylus,filter->ipw,0.8921754480230109,0.9891849533040866,14.149999999999999,23.849999999999998,0.7613386173491854,0.020560012621832907
rf,Procambarus clarkii,filter,0.8297077332072172,0.9729596471329541,-13.09781703049492,-19.850000000000005,0.6417726713171933,0.03383674264142289
rf,Procambarus clarkii,trust,0.9090860878157452,0.992715529399102,11.231461423096155,8.14999999999999,0.8042399639152007,0.021595117974307527
