build,beta,rho,winner,best,margin,rec_ALL,rec_FILTER,rec_IPW_est,rec_IPW_oracle
A_orig,0.0,0.0,TIE,IPW_est,0.0002265367343603497,0.9985699059614771,0.9990793897170385,0.9993059264513988,0.9991129504215295
A_orig,0.0,0.25,TIE,IPW_est,0.0002265367343603497,0.9927964060238355,0.9990793897170385,0.9993059264513988,0.9991129504215295
A_orig,0.0,0.5,TIE,IPW_est,0.0002265367343603497,0.9682700786386856,0.9990793897170385,0.9993059264513988,0.9991129504215295
A_orig,0.0,0.75,TIE,IPW_est,0.0002265367343603497,0.9232901142838137,0.9990793897170385,0.9993059264513988,0.9991129504215295
A_orig,0.0,1.0,TIE,IPW_est,0.0002265367343603497,0.8566276970034938,0.9990793897170385,0.9993059264513988,0.9991129504215295
A_orig,0.5,0.0,TIE,IPW_est,0.001424883504627772,0.9977964360666328,0.9866670973135935,0.9992213195712606,0.9989730094817107
A_orig,0.5,0.25,IPW_est,IPW_est,0.0068199344846958665,0.9924013850865647,0.9866670973135935,0.9992213195712606,0.9989730094817107
A_orig,0.5,0.5,IPW_est,IPW_est,0.012554222257667114,0.9677353836320952,0.9866670973135935,0.9992213195712606,0.9989730094817107
A_orig,0.5,0.75,IPW_est,IPW_est,0.012554222257667114,0.9258021919874273,0.9866670973135935,0.9992213195712606,0.9989730094817107
A_orig,0.5,1.0,IPW_est,IPW_est,0.012554222257667114,0.8679159533578842,0.9866670973135935,0.9992213195712606,0.9989730094817107
A_orig,1.0,0.0,TIE,IPW_est,0.0002681567461408907,0.9984507279317582,0.9548672841240229,0.998718884677899,0.9984037591005943
A_orig,1.0,0.25,IPW_est,IPW_est,0.006646013282545549,0.9920728713953535,0.9548672841240229,0.998718884677899,0.9984037591005943
A_orig,1.0,0.5,IPW_est,IPW_est,0.034352026032174354,0.9643668586457247,0.9548672841240229,0.998718884677899,0.9984037591005943
A_orig,1.0,0.75,IPW_est,IPW_est,0.04385160055387616,0.9185174705471126,0.9548672841240229,0.998718884677899,0.9984037591005943
A_orig,1.0,1.0,IPW_est,IPW_est,0.04385160055387616,0.8605979982728844,0.9548672841240229,0.998718884677899,0.9984037591005943
A_orig,1.5,0.0,TIE,ALL,0.0014843580964505332,0.9975795674738608,0.9250927213145121,0.9960952093774103,0.9960982290921876
A_orig,1.5,0.25,IPW_est,IPW_est,0.0059269697745281125,0.9901682396028821,0.9250927213145121,0.9960952093774103,0.9960982290921876
A_orig,1.5,0.5,IPW_est,IPW_est,0.036076695069972464,0.9600185143074378,0.9250927213145121,0.9960952093774103,0.9960982290921876
A_orig,1.5,0.75,IPW_est,IPW_est,0.0710024880628981,0.9105324614426273,0.9250927213145121,0.9960952093774103,0.9960982290921876
A_orig,1.5,1.0,IPW_est,IPW_est,0.0710024880628981,0.8517085366534733,0.9250927213145121,0.9960952093774103,0.9960982290921876
A_orig,2.0,0.0,ALL,ALL,0.006404885496793189,0.9968151522513014,0.9004675018409174,0.9904102667545082,0.9911538399156057
A_orig,2.0,0.25,TIE,IPW_est,0.0013213459970847774,0.9890889207574234,0.9004675018409174,0.9904102667545082,0.9911538399156057
A_orig,2.0,0.5,IPW_est,IPW_est,0.034668690618992914,0.9557415761355152,0.9004675018409174,0.9904102667545082,0.9911538399156057
A_orig,2.0,0.75,IPW_est,IPW_est,0.08776286166982228,0.9026474050846859,0.9004675018409174,0.9904102667545082,0.9911538399156057
A_orig,2.0,1.0,IPW_est,IPW_est,0.08994276491359077,0.8426363844957943,0.9004675018409174,0.9904102667545082,0.9911538399156057
A_orig,2.5,0.0,ALL,ALL,0.014951319675311603,0.9968815216150085,0.8816982599085554,0.9819302019396969,0.9834206500103216
A_orig,2.5,0.25,ALL,ALL,0.006098957698174257,0.9880291596378712,0.8816982599085554,0.9819302019396969,0.9834206500103216
A_orig,2.5,0.5,IPW_est,IPW_est,0.028432932996444893,0.953497268943252,0.8816982599085554,0.9819302019396969,0.9834206500103216
A_orig,2.5,0.75,IPW_est,IPW_est,0.08379824986152273,0.8981319520781742,0.8816982599085554,0.9819302019396969,0.9834206500103216
A_orig,2.5,1.0,IPW_est,IPW_est,0.1002319420311415,0.8354337351682546,0.8816982599085554,0.9819302019396969,0.9834206500103216
A_orig,3.0,0.0,ALL,ALL,0.02704810882514308,0.9973698432650666,0.8640876621944097,0.9703217344399235,0.970217494573776
A_orig,3.0,0.25,ALL,ALL,0.017106313513929994,0.9874280479538535,0.8640876621944097,0.9703217344399235,0.970217494573776
A_orig,3.0,0.5,IPW_est,IPW_est,0.02011678806641637,0.9502049463735072,0.8640876621944097,0.9703217344399235,0.970217494573776
A_orig,3.0,0.75,IPW_est,IPW_est,0.07930722880621344,0.8910145056337101,0.8640876621944097,0.9703217344399235,0.970217494573776
A_orig,3.0,1.0,IPW_est,IPW_est,0.10623407224551384,0.826390345819002,0.8640876621944097,0.9703217344399235,0.970217494573776
A_orig,4.0,0.0,ALL,ALL,0.04449728147877041,0.9966494075901642,0.8463906452038646,0.9521521261113938,0.9536075004646989
A_orig,4.0,0.25,ALL,ALL,0.03462476056023811,0.9867768866716319,0.8463906452038646,0.9521521261113938,0.9536075004646989
A_orig,4.0,0.5,TIE,IPW_est,0.0032431967352345437,0.9489089293761592,0.8463906452038646,0.9521521261113938,0.9536075004646989
A_orig,4.0,0.75,IPW_est,IPW_est,0.06510281899283121,0.8870493071185626,0.8463906452038646,0.9521521261113938,0.9536075004646989
