species,env_auc,ess_p99,ipw_gated,env_width_D,D_vs_FILTER_IPW_k0.25,D_vs_FILTER_IPW_k0.5,D_vs_FILTER_IPW,D_vs_FILTER_IPW_k2,D_vs_FILTER_IPW_k4
Astacus astacus,0.923563478585081,0.1726183682029079,True,0.551582774544238,0.8964072207387249,0.8779011800104538,0.8259277507396681,0.6036933924251623,0.5381365840473089
Austropotamobius pallipes,0.9596390410241702,0.028273471016958138,True,0.7267922120724064,0.9385597790735262,0.9065540467158228,0.8529956799642973,0.7654265861723681,0.7034582584332643
Pacifastacus leniusculus,0.8652908231159804,0.7087938796693442,False,0.6016963171701062,0.9537631052629463,0.9522227471759855,0.932977226647496,0.772973850392243,0.5953688904540464
Procambarus clarkii,0.735777091593975,0.2804303055066239,True,0.795239989314402,0.9261116156440765,0.9164862493057249,0.8868567402402606,0.8357243183147982,0.7570179332544855
Faxonius limosus,0.7508297331853415,0.5119751643999805,False,0.7096285831604623,0.9540046394987846,0.9460486347410749,0.9260484909285305,0.8238543815665682,0.696614144677858
Pontastacus leptodactylus,0.617430429361673,0.0495996530849069,True,0.6491854182711436,0.9334961902065176,0.9297857443781778,0.8859072668397765,0.8053819851890632,0.6409598390251532
Austropotamobius torrentium,0.6091796603622964,0.14625863950662865,True,0.42986453380868905,0.8619920326130384,0.828626280825016,0.8460400851088484,0.46320223677055283,0.4270957391983313
