geom,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
away_HQ,0.0,0.0,10.0,1.0,0.6007916666666666,0.8913142727152362,0.9887026536388412,0.9985699059614771,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9229367643454376,0.9943117194377187,0.9990226940307307,0.9235110666843811,0.9236424791851211,0.8073055787656448,14.4750035127352,3.803685733642256,0.6418194341283678,0.22138226798282057,-0.03620240730265522,0.0021954499813686985,9.827359106406593
away_HQ,0.0,0.5,10.0,1.0,0.6007916666666666,0.850009226470083,0.9796534689082694,0.937513223064711,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.8846560980916325,0.9884055653005804,0.9620392756826702,0.8917136909147779,0.8918716597506345,0.7283906205150406,20.868757453734677,4.413594496230231,0.707106695065306,0.20653391989949837,1.0512776369517474,-0.41128054842736,9.817344431753451
away_HQ,0.0,1.0,10.0,1.0,0.6007916666666666,0.7973963710332381,0.9619993957908229,0.8637022157931195,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.8504533303449593,0.9804689750696426,0.9311549261960427,0.8578415903770261,0.8579633871785859,0.6260211080522077,20.323914508970667,5.78593402510355,0.7780216313040274,0.18237701567777198,1.6825519472579566,-0.6339440957753711,9.855467090151427
away_HQ,1.0,0.0,10.0,1.0,0.6017083333333333,0.8877532143040618,0.9880062659258765,0.9984507279317582,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9301391299815194,0.9957170774813969,0.9890206975551802,0.9289607027935177,0.8997203708431112,0.6339957366459645,24.913720079371846,4.93308514023034,0.712750598657445,0.19916096142950812,1.2343558955466702,0.033562311697434774,9.796239392082843
away_HQ,1.0,0.5,10.0,1.0,0.6017083333333333,0.8338660340859435,0.9732257810125633,0.9354031672509504,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9421446153226478,0.9967144557579997,0.9930091813854,0.9316117759265579,0.8249279901386074,0.3727888616070031,47.58184246663017,8.229101322280458,0.8656818051485525,0.14284261913414947,2.806173810701031,-0.37384816626358586,9.763171735876465
away_HQ,1.0,1.0,10.0,1.0,0.6017083333333333,0.7810098685441139,0.9521573833794466,0.8372831936836511,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9415912447533012,0.9964643184103211,0.9914300399754709,0.9306275502704145,0.8221059222849147,0.28869668693413914,55.93464840494376,8.678812933578762,0.9100282175129357,0.11587099000824812,3.518541801585571,-0.5944268184717827,9.793372400553535
away_HQ,2.0,0.0,10.0,1.0,0.6029166666666667,0.8860458239875201,0.9875084369384559,0.9968151522513014,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.8817178873163326,0.9866969895014308,0.9562901093794123,0.9185150927930343,0.8830248888583851,0.48396368352510144,32.96787770058479,5.722904380011345,0.7839593264796509,0.17116192210691783,2.227195086036591,0.04629896581724378,9.803805873415454
away_HQ,2.0,0.5,10.0,1.0,0.6029166666666667,0.8250716134382603,0.9700027958271348,0.9308275747590176,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.93655958214978,0.9956053660170293,0.9853094779902353,0.9572323239492464,0.8313735356551495,0.1643237997841165,83.7378764051986,8.567290961856568,0.9307933991094832,0.10080863124581524,4.471252335241445,-0.3610208359193047,9.735049474499371
away_HQ,2.0,1.0,10.0,1.0,0.6029166666666667,0.7701714872624483,0.9470496802725806,0.8209442484136625,0.7875528279948013,0.9584514837189055,0.9004675018409174,0.9397357320035798,0.9958889283538978,0.9911538399156057,0.9291065794451234,0.9952074191861452,0.984279767005328,0.958795969740937,0.8498231949102867,0.1406864466177073,97.10536519433366,7.608975659436753,0.9581455108190523,0.07649453636232073,5.26622452431817,-0.5799405495397796,9.75889814727626
away_HQ,3.0,0.0,10.0,1.0,0.6015416666666666,0.8862772624959292,0.9875692443780462,0.9973698432650666,0.7387518621933984,0.9360567307905961,0.8640876621944097,0.8882990562043666,0.9865647131594475,0.970217494573776,0.8240270168418395,0.9695223810329343,0.9156517255199363,0.914116589770483,0.8922361381552093,0.3750324899835745,57.564023985097066,4.948608903420378,0.817476965349407,0.1549673255889674,3.042322669172054,0.06391833806776782,9.786847159222491
