species,strategy_vs_all,schoener_D,warren_I,range_top30_pct,range_top10_pct,top10_jaccard,mean_abs_diff
Pacifastacus leniusculus,filter,0.8136887354353375,0.9575456718387167,-19.81666666666666,-21.60000000000001,0.6687526074259491,0.033222177931710006
Pacifastacus leniusculus,trust,0.8537334278667389,0.9800327673538299,-16.983333333333334,-31.300000000000008,0.7174753112924002,0.03258086399958031
Pacifastacus leniusculus,ipw,0.813422158422926,0.9560469113646319,-12.549999999999988,-4.350000000000007,0.6576875259013676,0.0390689782847736
Pacifastacus leniusculus,ipw_str,0.8137946332228181,0.9560395177220229,-11.816666666666661,-4.7500000000000036,0.6556291390728477,0.03909039458845004
Astacus astacus,filter,0.6394209774613473,0.8905427221629144,-15.966666666666667,-51.55,0.48093298778230287,0.04685656634559709
Astacus astacus,trust,0.8011602188528758,0.9708890937091175,-5.5833333333333295,-40.00000000000001,0.7040034071550255,0.03269477376771074
Astacus astacus,ipw,0.65454486395805,0.8971526705477393,-14.049999999999988,-47.75,0.49868864743349567,0.0452062479551478
Astacus astacus,ipw_str,0.65454486395805,0.8971526705477393,-14.049999999999988,-47.75,0.49868864743349567,0.0452062479551478
Faxonius limosus,filter,0.8656774569094128,0.9720408782336003,-9.366666666666672,-6.700000000000011,0.7278617710583153,0.03220969698447515
Faxonius limosus,trust,0.8762446670916797,0.98315322169708,-14.616666666666667,-13.300000000000004,0.7723649247121346,0.029536947348986372
Faxonius limosus,ipw,0.8332186690176725,0.962276596793247,-6.033333333333335,-0.6000000000000033,0.6366612111292962,0.044963328975949346
Faxonius limosus,ipw_str,0.8338574309781194,0.9626521116135022,-6.099999999999994,-0.20000000000000573,0.6410992616899097,0.04481560892902865
Pontastacus leptodactylus,filter,0.8241662602321805,0.9684696394973448,-28.17863689385102,-44.9,0.5570260801868431,0.03667500289768989
Pontastacus leptodactylus,trust,0.8372589450719009,0.9760239147132297,-26.39560073321113,-47.7,0.5797788309636651,0.03643287339267404
Pontastacus leptodactylus,ipw,0.8498452284855432,0.9770343483950474,-14.980836527245458,-32.050000000000004,0.5754233950374164,0.033531041437816364
Pontastacus leptodactylus,ipw_str,0.8491724678781479,0.9767737795459366,-15.864022662889512,-30.050000000000008,0.5779092702169625,0.033667160467369416
Procambarus clarkii,filter,0.8297077332072171,0.9729596471329541,-13.09781703049492,-19.850000000000005,0.6417726713171933,0.03383674264142289
Procambarus clarkii,trust,0.9090860878157452,0.992715529399102,11.231461423096155,8.14999999999999,0.8042399639152007,0.021595117974307527
Procambarus clarkii,ipw,0.8455577656481239,0.9765038683647452,-28.645225795700707,-30.550000000000004,0.7286084701815039,0.03313770686880873
Procambarus clarkii,ipw_str,0.8442105346287199,0.9760107652058865,-28.478586902182958,-31.1,0.7316017316017316,0.03328288966550334
Austropotamobius pallipes,filter,0.7646315020492686,0.932764354970645,-11.466666666666663,-22.10000000000001,0.5772870662460567,0.029564314584158046
Austropotamobius pallipes,trust,0.8266483333047461,0.9709298381613535,-6.949999999999994,-21.95000000000001,0.7174753112924002,0.024815411764812213
Austropotamobius pallipes,ipw,0.7551694513640281,0.9257324138287824,-11.21666666666667,-8.95,0.5655577299412916,0.03495650980169177
Austropotamobius pallipes,ipw_str,0.7563829714624145,0.9266438340296823,-10.283333333333331,-8.199999999999998,0.5667841754798276,0.034945817726005975
Austropotamobius torrentium,filter,0.6903041860615351,0.9184190044250682,-8.533333333333339,-39.25000000000001,0.5972055888223553,0.03331090738412518
Austropotamobius torrentium,trust,0.8005532629421568,0.9685153160934016,-5.683333333333337,-16.800000000000008,0.8140589569160998,0.025100392547536574
Austropotamobius torrentium,ipw,0.7293846932645376,0.9345385922642704,-7.949999999999994,-33.65,0.6474464579901154,0.02953343251892682
Austropotamobius torrentium,ipw_str,0.7330433479457834,0.9355684918531414,-7.833333333333322,-33.45,0.6611295681063123,0.029391519979036194
