dataset,mean_abs_smd_before,mean_abs_smd_after,n_gt01_before,n_gt01_after,max_abs_smd_before,max_abs_smd_after
GLOBAL (all species),0.05188602839165446,0.010990157491171005,39,0,0.16095025408243985,0.03979983626721298
Astacus astacus,0.20366284292747325,0.13381503331780562,191,140,0.6203687836881746,0.9858784451234863
Austropotamobius pallipes,0.09454832285710432,0.5532842331243165,110,248,0.3856400283841659,1.8630405529192402
Pacifastacus leniusculus,0.04130402488929063,0.029763434509941355,23,16,0.22357585178600006,0.15469998932004525
Procambarus clarkii,0.06822331479348762,0.15670862402390257,70,132,0.38337814906655004,1.5908693126390423
Faxonius limosus,0.06687664509227244,0.04207668156534203,81,37,0.21663389262862362,0.26101049687469924
Pontastacus leptodactylus,0.06469335687896277,0.36202331045903313,82,188,0.20847020268123317,4.23387199154915
Austropotamobius torrentium,0.1293372461770095,0.3081676232659516,141,225,0.44371102204187596,1.2067111952734364
