beta,rho,D,seed,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc
0.0,0.0,10.0,0,0.6006666666666667,0.8891383713360586,0.9882326770341978,0.9983145357940705,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.987655528672787,0.9998644264306731,0.9995504493937785,0.9977020181656152,1.4214133917899103,1.9504877952622197,0.5324498007222545
0.0,0.0,10.0,1,0.607,0.8965995356045298,0.9898832594625756,0.9995381497924433,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9928427036521882,0.9999495390017966,0.9998262036902636,0.9996604313988056,1.1022260035223526,1.7224099391998104,0.5108935475712392
0.0,0.0,10.0,2,0.604,0.8795287762592525,0.9862230787417999,0.9989547516597057,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9818736683961982,0.9996396896242177,0.999412478841362,0.9994448440304466,1.1489233001509918,1.8333640178092254,0.5138031808147702
0.0,0.0,10.0,3,0.597,0.8849824170553712,0.9872678047534496,0.9966907139112521,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9703023930521688,0.9992744237226863,0.9974687386822223,0.9995189380426345,1.0661577733778962,1.7540759562298316,0.5133372957979864
0.0,0.0,10.0,4,0.5966666666666667,0.8966043733732433,0.9897921102476789,0.9977081368957358,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9831380936462677,0.9997346040322473,0.9992766346298146,0.9988297543629109,1.083592666342018,1.7901559864983834,0.5253970635763424
0.0,0.0,10.0,5,0.5986666666666667,0.8986739988370045,0.9901229982243354,0.998293633027334,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.989372753215598,0.9998971239195606,0.9996479289891116,0.9990271519443451,1.0529467653550073,1.7378671124609606,0.5218434838585561
0.0,0.0,10.0,6,0.6106666666666667,0.887939110699195,0.9881273631109423,0.9996186731940649,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9878999060038813,0.9998489013491817,0.9997281802495147,0.9988916995513378,1.1098059516389809,1.7628501765083022,0.5230704055003889
0.0,0.0,10.0,7,0.5916666666666667,0.8970475985572354,0.9899719375357509,0.9994406534172106,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.987592140706686,0.9998418486712266,0.9995367971351231,0.9990699102408194,1.2684879477209345,1.8847433176274508,0.5219729807415925
0.0,0.25,10.0,0,0.6006666666666667,0.9157592796621606,0.9935287857414711,0.9938000307162571,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.987655528672787,0.9998644264306731,0.9995504493937785,0.9977020181656152,1.4214133917899103,1.9504877952622197,0.5324498007222545
0.0,0.25,10.0,1,0.607,0.9144238833031686,0.9933948814911306,0.9938297532299782,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9928427036521882,0.9999495390017966,0.9998262036902636,0.9996604313988056,1.1022260035223526,1.7224099391998104,0.5108935475712392
0.0,0.25,10.0,2,0.604,0.8958117921097377,0.9901508329005557,0.9915597646274525,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9818736683961982,0.9996396896242177,0.999412478841362,0.9994448440304466,1.1489233001509918,1.8333640178092254,0.5138031808147702
0.0,0.25,10.0,3,0.597,0.9118571573414652,0.9927364612855574,0.9969932551409619,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9703023930521688,0.9992744237226863,0.9974687386822223,0.9995189380426345,1.0661577733778962,1.7540759562298316,0.5133372957979864
0.0,0.25,10.0,4,0.5966666666666667,0.9154789549351898,0.9935686927031038,0.9903220479459908,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9831380936462677,0.9997346040322473,0.9992766346298146,0.9988297543629109,1.083592666342018,1.7901559864983834,0.5253970635763424
0.0,0.25,10.0,5,0.5986666666666667,0.9196472143378558,0.9941140698895846,0.9954273560225332,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.989372753215598,0.9998971239195606,0.9996479289891116,0.9990271519443451,1.0529467653550073,1.7378671124609606,0.5218434838585561
0.0,0.25,10.0,6,0.6106666666666667,0.9038277348993928,0.9915853798055865,0.9921129508799368,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9878999060038813,0.9998489013491817,0.9997281802495147,0.9988916995513378,1.1098059516389809,1.7628501765083022,0.5230704055003889
0.0,0.25,10.0,7,0.5916666666666667,0.9125239695650597,0.9931813362937592,0.9883260896275727,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.987592140706686,0.9998418486712266,0.9995367971351231,0.9990699102408194,1.2684879477209345,1.8847433176274508,0.5219729807415925
0.0,0.5,10.0,0,0.6006666666666667,0.8888747588973906,0.989523256137936,0.9707130066431912,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.987655528672787,0.9998644264306731,0.9995504493937785,0.9977020181656152,1.4214133917899103,1.9504877952622197,0.5324498007222545
0.0,0.5,10.0,1,0.607,0.8843425043725756,0.9885230858068935,0.9687431985130206,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9928427036521882,0.9999495390017966,0.9998262036902636,0.9996604313988056,1.1022260035223526,1.7224099391998104,0.5108935475712392
0.0,0.5,10.0,2,0.604,0.8697845099500175,0.9854387522932534,0.9642450617702409,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9818736683961982,0.9996396896242177,0.999412478841362,0.9994448440304466,1.1489233001509918,1.8333640178092254,0.5138031808147702
