lag_km,n_pairs,bio_corr
0.5,7921,0.9994018464338886
1.0,1368,0.9986100999974928
2.0,2318,0.995768672858808
5.0,9133,0.9859150074421931
10.0,20549,0.9588805137829022
25.0,93120,0.8826398776089506
50.0,200000,0.7130825481234919
