geom,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
toward_HQ,0.0,0.0,10.0,0,1,blend,obs,0.6006666666666667,0.8891383713360586,0.9882326770341978,0.9983145357940705,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.9210267179370429,0.9940412593101737,0.9994699408108253,0.9125374854382184,0.9117112614592937,0.7744886907657477,17.557199119339693,3.9837240999029557,0.6584559170945286,0.21850978798606888,-0.016819722168906998,0.010857909559232796,9.795641216981993
toward_HQ,0.0,0.0,10.0,1,1,blend,obs,0.607,0.8965995356045298,0.9898832594625756,0.9995381497924433,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9216365197182332,0.9941815483425942,0.9998701340074941,0.9224510297228472,0.9222830681694987,0.32239825012955425,54.44749364237142,3.8044899524994182,0.6460500643002499,0.22033785037472603,0.07120574714050762,-0.028137627325423853,9.814539588876414
toward_HQ,0.0,0.0,10.0,2,1,blend,obs,0.604,0.8795287762592525,0.9862230787417999,0.9989547516597057,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9174241031162643,0.9934416654310612,0.9989380299861916,0.9270650206873468,0.9273224686921884,0.9146289120227913,4.70870390658583,3.596025652823745,0.6374574014612646,0.2201743639363436,0.0009670685942742658,-0.004532873196805874,9.836192930559635
toward_HQ,0.0,0.0,10.0,3,1,blend,obs,0.597,0.8849824170553712,0.9872678047534496,0.9966907139112521,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9186942344253499,0.9935821078460497,0.9966413666719208,0.9269340782435822,0.9276834538471824,0.8515332971444362,10.437640728090463,3.8421090280506514,0.6421947528285671,0.22285926507749615,-0.025158759140154446,0.023582589985957306,9.84277479489652
toward_HQ,0.0,0.0,10.0,4,1,blend,obs,0.5966666666666667,0.8966043733732433,0.9897921102476789,0.9977081368957358,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9323334950433755,0.9956529143434478,0.9987644455459339,0.9252271506166665,0.9250764004313691,0.9255327171482857,4.398224277397955,3.6597875139519367,0.6392938270464934,0.22265333607693447,-0.1448687123695754,0.008046434446076388,9.802886723005642
toward_HQ,0.0,0.0,10.0,5,1,blend,obs,0.5986666666666667,0.8986739988370045,0.9901229982243354,0.998293633027334,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.9271950574994602,0.9949361101833692,0.999642494298628,0.9304573796786975,0.930623739662453,0.9368837107808503,5.333932644342791,3.561473876865135,0.6228720245802781,0.2254777615797002,-0.050674783251926904,0.0033252568001060135,9.824206391258887
toward_HQ,0.0,0.0,10.0,6,1,blend,obs,0.6106666666666667,0.887939110699195,0.9881273631109423,0.9996186731940649,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9248842721494441,0.994684700354307,0.9999738851618368,0.9320212150477896,0.9327396638948736,0.9327015661979696,5.611134825973627,3.514261579184161,0.6343488757701741,0.22004483150957496,-0.08166279064234766,0.0023443140194252306,9.86734072916851
toward_HQ,0.0,0.0,10.0,7,1,blend,obs,0.5916666666666667,0.8970475985572354,0.9899719375357509,0.9994406534172106,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.9202997148743303,0.9939734496907467,0.9988812557630158,0.9113951740399009,0.9116997773241101,0.8002774859355232,13.305698957779816,4.467614165860047,0.6538826099453866,0.2210009473217203,-0.04260730658311225,0.0020775955623815773,9.835290476505143
toward_HQ,0.0,0.5,10.0,0,1,blend,obs,0.6006666666666667,0.853108143386681,0.9817479808142769,0.9484869156671325,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.8861703214267727,0.9893657553934672,0.9676763311910935,0.8803307785267394,0.879979624590151,0.8624284632497677,4.500726459869245,4.506404089745348,0.7168681061109989,0.2053484077133159,-1.2954419152831103,0.40371617929375775,9.85887617917813
toward_HQ,0.0,0.5,10.0,1,1,blend,obs,0.607,0.8493807192017955,0.9807685661986778,0.9468162819506226,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.8824057677149987,0.988414075201761,0.9669340102427907,0.8815232624006994,0.8814039431174865,0.8533951288500419,6.072421392371836,4.596968875681837,0.7171112722692887,0.20379417584780474,-1.3716051821549182,0.3925406308809355,9.8058039551687
toward_HQ,0.0,0.5,10.0,2,1,blend,obs,0.604,0.8359505681625902,0.9769166852817726,0.9393386228935163,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.8883315954390525,0.9896683287265535,0.970267526904276,0.8883589557192192,0.8889467490086687,0.8492108949170162,6.3085324511203,4.223073262428478,0.7168537378940248,0.2031660998145796,-1.2810243937053223,0.4001020797916399,9.850871392566342
toward_HQ,0.0,0.5,10.0,3,1,blend,obs,0.597,0.8635443014599848,0.9837419573338505,0.9621885033457295,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9046000301719017,0.9922579333274002,0.9796345453447487,0.8875422284290573,0.8871154708069567,0.8672368865255279,6.000296091479261,4.168721166933402,0.7106772720324349,0.20733990691957285,-1.2349335823074965,0.4199829221436303,9.863736045989981
toward_HQ,0.0,0.5,10.0,4,1,blend,obs,0.5966666666666667,0.852777915059931,0.9816579115247409,0.9464308377499956,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.8801430857041759,0.9880422756237364,0.9623311657197284,0.8679334603096213,0.8676936253664387,0.8060608754396851,7.92664759387864,5.2810674093706025,0.7330723948474076,0.2005677871450434,-1.4340869909946659,0.4021770672215746,9.808994503486593
toward_HQ,0.0,0.5,10.0,5,1,blend,obs,0.5986666666666667,0.8594453345130472,0.9832772218414115,0.955007892043841,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.8898802314847927,0.9898618796417097,0.9708145162618669,0.8798245968112334,0.879852163191458,0.8668817853086369,5.559430207584782,4.373996779842464,0.7175383743127954,0.20541280672742118,-1.3918763543358836,0.3914146318378412,9.852950812163057
toward_HQ,0.0,0.5,10.0,6,1,blend,obs,0.6106666666666667,0.8421347019461555,0.9785636542386338,0.9445010164961353,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.8864276787390735,0.9890997273038302,0.9686828134471346,0.8816271630647843,0.8816382238982241,0.8667946446253803,5.642129101655598,4.198009709766161,0.7267454630765089,0.2001551127176932,-1.3537081758842708,0.39675747473877937,9.862242468035642
toward_HQ,0.0,0.5,10.0,7,1,blend,obs,0.5916666666666667,0.841248814802804,0.9790920699682623,0.933027675555796,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.8651348871984852,0.985153915008099,0.9515609948708988,0.8652489634344519,0.8658595789432982,0.6606749577221853,18.847638222096148,5.5756702495959996,0.7298621442943374,0.20216077575569413,-1.3569702131527632,0.409730296134813,9.846835201082355
toward_HQ,0.0,1.0,10.0,0,1,blend,obs,0.6006666666666667,0.7855213404371689,0.9604446513415364,0.8572917391740482,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.8394570362209265,0.9787737947204409,0.9258398151377142,0.8364895735067034,0.8362981045940554,0.7195386579428668,7.645349444803513,6.836021037311804,0.804009271834856,0.17406197598912385,-2.129017145195925,0.6551222687522709,9.915105983847194
toward_HQ,0.0,1.0,10.0,1,1,blend,obs,0.607,0.7864859104853783,0.9607028523899682,0.8584862880259305,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.8353254984869252,0.97710895002577,0.9206807708996193,0.8361480341495352,0.8360379821470978,0.6611847316684467,12.454986045459089,6.347661573486931,0.8077932554836865,0.17198848043177242,-2.2759398978317593,0.6371537291675469,9.894705982675552
toward_HQ,0.0,1.0,10.0,2,1,blend,obs,0.604,0.7738396201562758,0.9560055208285598,0.843152871929688,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.8449879258051375,0.9798918752594168,0.9331669691796943,0.8428064916743228,0.8434080643265652,0.5661155299337355,15.938609849095121,5.951189479053966,0.8134453437985447,0.1685437134574368,-2.035082656759836,0.6462401283433913,9.9147857235151
toward_HQ,0.0,1.0,10.0,3,1,blend,obs,0.597,0.797269238662265,0.9638568637044522,0.8802408768509725,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.8529476559363071,0.9815754624049682,0.9405505049375351,0.8362317789405992,0.8356654963172019,0.6439494807959982,15.240464570954117,6.34172859778911,0.8060489008778845,0.17385178676078597,-1.899940748028439,0.6556030534382139,9.937916225423677
toward_HQ,0.0,1.0,10.0,4,1,blend,obs,0.5966666666666667,0.7824309288131521,0.9589465165196069,0.8511252800221925,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.826020162538766,0.9744287991210079,0.9100778467622992,0.8150971620329731,0.8148927352166132,0.503917831256437,19.08355794009409,7.998661061060287,0.8227328131492683,0.16630886769581862,-2.135440985674554,0.6385941981595727,9.913419676922683
toward_HQ,0.0,1.0,10.0,5,1,blend,obs,0.5986666666666667,0.7923693559581181,0.9627986674558189,0.8681889055095695,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.831493704952774,0.9757197981889523,0.9166481411808843,0.820866872340685,0.8208296799629106,0.6609504445086719,8.780826069227645,7.403815261938792,0.8133465193971099,0.1702550350588839,-2.194700582247762,0.6434148182625545,9.92139934069197
toward_HQ,0.0,1.0,10.0,6,1,blend,obs,0.6106666666666667,0.782434645938423,0.9589266091216918,0.8542056887306968,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.8369234536376253,0.977444648482129,0.9233183952403634,0.8317341538639949,0.8316757321919054,0.7020401637026941,10.73261824823894,6.308650723135434,0.818327011799366,0.1677419250997832,-2.3191667331296046,0.6395406240549981,9.925377332971014
toward_HQ,0.0,1.0,10.0,7,1,blend,obs,0.5916666666666667,0.7766896014820053,0.9573540460958808,0.8403299257848529,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.8221902988397303,0.9742031234090773,0.9090366825995052,0.8233873015110134,0.8238925888646571,0.25420406719955074,60.8351812536273,7.515695082619858,0.8131387180224202,0.17088524954316714,-1.9894911993474433,0.6392647274480605,9.93488510938585
