env_var,mean_all,mean_high,SMD_all_to_high,KS_high_vs_low
l_CLI25,27.551691292018926,28.42042967852695,0.1609502540825705,0.3590251626529699
l_CLI27,27.606678809028416,28.471337840484573,0.16043866041027266,0.35812805992319235
l_CLI13,677.2521688746082,704.696282325632,0.1603301473816559,0.356173435841168
l_CLI15,678.8451922559632,706.2194356461499,0.15993939381529834,0.3547702379839239
l_CLI26,27.65700000877909,28.51591164629502,0.1597011499200015,0.35586158412268826
l_CLI14,680.2715311613862,707.5208528284548,0.15933408155703394,0.3539233486270296
l_SOL47,1.0545533628310815,1.178716452069203,0.1552158618477238,0.2653429532788878
l_SOL45,0.9083199452184677,1.0261264855584975,0.15292971105155295,0.20971291715030438
l_SOL42,63.7402354552398,62.46022995176091,-0.14966565098658316,0.2767204854820414
l_SOL46,1.2092584301228195,1.3381572425132688,0.14605057876070832,0.2635278118217377
l_SOL43,62.226129488969086,61.02022077303447,-0.1420346552862863,0.2749160434056459
l_TOP29,866977.3846822408,995711.4553093226,0.14000262919162118,0.24340920761639545
l_TOP31,867437.8169218486,996147.4804945549,0.13998003106794776,0.24337184233711578
l_TOP114,867532.3582432512,996235.1718710032,0.13997381304806483,0.24335663507772742
l_TOP30,867837.1103180664,996525.5007435349,0.13996024331484586,0.24337458055072986
l_CLI53,53.36295135505281,57.262218756422804,0.13992179506586935,0.2683401088830471
l_CLI55,53.665579149657184,57.53388471582459,0.1378974088881303,0.26651123333706034
l_CLI65,181.8976024300526,194.15221065612417,0.13695068056917636,0.27754262045768524
l_CLI54,53.98804902244814,57.82014556357526,0.13564331678998465,0.26274804299872995
l_CLI67,182.922172327425,195.06982762564525,0.13483553051214936,0.27530369655093934
l_SOL41,60.74454598927195,59.62253817416851,-0.13274267659723019,0.2631125846909414
l_CLI66,184.01525806140097,196.0362240518419,0.13246687771866744,0.272627342147293
l_CLI69,260.5953277673891,277.9598043838332,0.13062731084255538,0.2961329700901706
l_TOP109,2243.8502374744307,2561.7515384522385,0.13040483862656452,0.24178114602934592
l_CLI37,21.779979720298137,22.264025606615647,0.12827846310281701,0.2468657552370917
l_CLI71,262.2062971942023,279.36186737030454,0.12795861726434357,0.29517381862599035
l_CLI39,21.87577801627644,22.348184860904574,0.1267253601550894,0.24864867297785026
l_CLI70,263.89085482016026,280.81022209326227,0.12504790484839337,0.2940752298831486
l_CLI38,21.95410598119519,22.414375612056144,0.12458596196219196,0.24887299139037972
l_TOP144,259657319.87956402,276594237.38296884,0.12174810890246134,0.23525973160711505
l_CLI17,27.37310393566682,27.88399828322029,0.11966094128329856,0.23302578299381083
l_TOP105,3.000158023650873,3.243818988550772,0.11926156972977907,0.23177806683546665
l_CLI19,27.47260630689949,27.971093732545064,0.11796110887374177,0.2349747992608623
l_CLI18,27.555026907916105,28.040375152636223,0.11576816096558247,0.23442459970927215
l_TOP106,3.3422353323325167,3.592663789247156,0.11391858072718268,0.21168776796864774
l_CLI45,1020.9411361900499,1060.4816050681272,0.10834442214330033,0.2697814836005061
l_TOP142,552100076.5355685,588913437.1181434,0.10617605310834864,0.20777176205618075
l_CLI47,1026.8260560070937,1065.626846993822,0.10530771456214286,0.26809204417045757
l_CLI46,1033.10086913008,1071.0443243504649,0.10197430933503719,0.26597326214749983
l_LAC1,0.20815169392574642,0.17390814019561618,-0.098229734887706,0.18973172824762585
l_CLI60,0.034005271844574955,0.029684166938691615,-0.09123676731056739,0.13607539649211053
l_LAC6,0.16166198741078253,0.1890409246430428,0.08585549414056738,0.1323198266429636
l_TOP112,1.034847601991098,1.0173742555583767,-0.08521842895917699,0.16976972311837385
l_SOL2,39.85535568490084,39.62947783298877,-0.08499041509522777,0.23185919818635986
l_CLI58,28.244154441781458,26.51372335666703,-0.08495836949712793,0.1474130228653487
