build,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
A_orig,0.0,0.0,10.0,0.0,0.6007916666666666,0.8913142727152362,0.9887026536388412,0.9985699059614771,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.0021954499813686985,9.827359106403993
A_orig,0.0,0.25,10.0,0.0,0.6007916666666666,0.9111662482692537,0.9927825550138436,0.9927964060238355,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.15588792985232033,7.619286801378295
A_orig,0.0,0.5,10.0,0.0,0.6007916666666666,0.8830657192543192,0.988210581646289,0.9682700786386856,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.3362807048986836,6.320217500747861
A_orig,0.0,0.75,10.0,0.0,0.6007916666666666,0.8340588071031901,0.9763932812599535,0.9232901142838137,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.5106465084632785,7.671647756356508
A_orig,0.0,1.0,10.0,0.0,0.6007916666666666,0.7846300802415983,0.9598794659321894,0.8566276970034938,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.6443666934533261,9.919699421741072
A_orig,0.5,0.0,10.0,0.0,0.6025833333333334,0.8925085372955965,0.9889047226175548,0.9977964360666328,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.012031864351917587,9.828117493461427
A_orig,0.5,0.25,10.0,0.0,0.6025833333333334,0.9207923169086719,0.9943526968714942,0.9924013850865647,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.16293906817170212,7.592793720995024
A_orig,0.5,0.5,10.0,0.0,0.6025833333333334,0.8897019657156751,0.9900431388713148,0.9677353836320952,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.3454933140781179,6.270439793624527
A_orig,0.5,0.75,10.0,0.0,0.6025833333333334,0.8385119060435321,0.9788373813053775,0.9258021919874273,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.5258153891084222,7.645929039655431
A_orig,0.5,1.0,10.0,0.0,0.6025833333333334,0.789714068351813,0.963700451430505,0.8679159533578842,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.6697486252525005,9.934684174664977
A_orig,1.0,0.0,10.0,0.0,0.6017083333333333,0.8877532143040618,0.9880062659258765,0.9984507279317582,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.033562311697434774,9.796239392080235
A_orig,1.0,0.25,10.0,0.0,0.6017083333333333,0.9221625804228273,0.9945799158304133,0.9920728713953535,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.17550082147712112,7.5985302335814655
A_orig,1.0,0.5,10.0,0.0,0.6017083333333333,0.8887007473191977,0.9896169163489605,0.9643668586457247,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.354004397690915,6.301876183969541
