part,regime,corr_len,D,grain,beta,rho,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,rel_real
A,away_HQ,6.0,3.0,1,3.0,1.0,1.0,0.6011666666666667,0.8514105469194498,0.9781298876354798,0.932514970470332,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.8692719775321552,0.9840800764924643,0.958928222985182,0.8772096999271154,0.9857915676509932,0.9638572873847929,0.8671180259938541,0.9824276043451846,0.9458913584698928,0.954586787821206,0.9977690473160538,0.9957599056046876,0.8697856393732395,0.9837581381359123,0.960600405082069,0.9590068337940482,0.849381415441473,0.059184796797419746,170.43396625178582,8.13862890994598,0.980917211357326,0.05154463247221761,8.272497655023852,8.228234784229322,5.611690461041525,0.7725313571614297,1.131256582744039,0.1625194811727575,0.1745684406015495,0.9347787608485213,1.0,6.0,0.031367605869462745,0.20598867789421016,0.7888727600204696,0.9035502505035929,0.9222640397099232,0.9589345272775128,0.9628286859641322,0.720689355025628,0.3946348227468666,0.9685897706121146,1.5,0.06284771366433271,162.1431670623272,8.714459193053974,-0.3587252255826093,2.98875771112163,0.9311078959452095
A,away_HQ,6.0,6.0,1,3.0,1.0,1.0,0.6011666666666667,0.762404577167723,0.9453195912228662,0.8004175540829116,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.8372698376969693,0.9756371047730271,0.9353962041460361,0.8599758753631562,0.9815203055960998,0.9518388174510641,0.8265175565407404,0.9700170291503243,0.9071775661142913,0.9019230710376046,0.9914895530183508,0.9933621777867122,0.83122789660717,0.9742330839684915,0.9654557563183109,0.9282512883480899,0.8798601170276642,0.09946705536457577,119.1427623683071,5.778724336002519,0.9816762166733174,0.0490019343949085,6.907736627516819,6.343146564122438,5.611690461041525,0.7725313571614297,1.3074285125178646,0.1625194811727575,0.22570679659207307,0.7631448990652608,1.0,6.0,0.1139112921389624,0.30637576030620733,0.5303863102790917,0.8914822116706338,0.9055698076167457,0.9354247353857085,0.9792855235663479,0.6715634927387253,0.38512071409203624,0.9792855235663479,2.0,0.08935374398550337,124.19320273534363,7.117513948763734,-0.5348971553564349,5.937425715556863,0.7199730646879311
A,away_HQ,6.0,10.0,1,3.0,1.0,1.0,0.6011666666666667,0.7162193259776393,0.925328359654431,0.7345345343432478,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.812829099062216,0.9666224196342572,0.9048168841516562,0.8453190554614941,0.9768496232419605,0.9460199150438374,0.8672592094375132,0.982534146153,0.9624652430730528,0.7871063679606851,0.9582169007375397,0.949965902378984,0.8479946753033244,0.9788593835674071,0.9870036481655414,0.9009289220322246,0.8845573431567003,0.26684539446348393,80.57926288690275,4.9253754442105855,0.9330982509206541,0.08433379933569217,3.6214675596981256,3.889039636224123,5.611690461041525,0.7725313571614297,1.2273532988823235,0.1625194811727575,0.3539478123264756,0.45899838383501396,1.0,6.0,0.26019181157622356,0.4344225818813971,0.37408650655013126,0.8706653711907287,0.8812499708497524,0.9048172198345257,0.8954605074752443,0.5192507762719881,0.35936489070510264,0.9145761319188564,1.6666666666666667,0.2977900587624137,49.86614858520996,5.977169544111272,-0.4548219417208937,9.797504431013536,0.45929439954319967
A,away_HQ,6.0,16.0,1,3.0,1.0,1.0,0.6011666666666667,0.7057828782027734,0.92241989405303,0.9738041253045431,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.7706594912129616,0.9555391682655522,0.8584711805528916,0.8264142923004395,0.9711915546075471,0.9465159414330011,0.9517655845477176,0.9979307810756314,0.9954281148105241,0.6878710609834364,0.9082612229284234,0.8847204194820429,0.8042262217315872,0.9665756788422025,0.9137862986529427,0.8376498063690602,0.8893748837018589,0.4890583772234856,33.643730240016396,4.872622504672814,0.8488312152972961,0.13552442000522402,2.1573634476002406,2.85614580024601,5.611690461041525,0.7725313571614297,0.7632287204354968,0.1625194811727575,0.5058098170780748,0.09072708614155646,1.0,6.0,0.43736776968689095,0.5041674315671889,0.3223562110087092,0.8572185598192689,0.8584209836182343,0.8584694192492256,0.8090041081801954,0.4182689834269098,0.5591634505105656,0.8597628367327409,1.25,0.5701718886591163,25.450184354082722,5.254026301806154,0.009302636725932907,15.389874373163403,0.32146902605251565
A,away_HQ,6.0,25.0,1,3.0,1.0,1.0,0.6011666666666667,0.6886096845024111,0.9133710537979497,0.8065158547590259,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.7468298785632926,0.9475425680902997,0.8229940545058637,0.8171352803965636,0.9686988951392509,0.9602263513628122,0.8947289458584988,0.9902652275736256,0.9829229575661915,0.6634220470931976,0.8936048616670412,0.8690292141962735,0.7867060600300894,0.9604925393908461,0.8672888112078067,0.8017326589396342,0.862137663004312,0.44848326508876446,47.094418049240495,6.290252402832029,0.8302875449999615,0.1484332741581076,1.8268222423535134,2.8804229201681326,5.611690461041525,0.7725313571614297,0.28719143066433617,0.1625194811727575,0.5714412758026785,-0.06277670526631585,1.0,6.0,0.5111704014647889,0.5056614032655715,0.3214084553321162,0.8525304707508553,0.8474333612013037,0.8229950131658716,0.48523879588723856,-0.001035686256796933,0.5400269981687001,0.8525304707508553,0.25,0.5981680514240447,22.217942411869092,6.069792653945036,0.4853399264970937,23.342812487386805,0.28491346154180547
A,away_HQ,12.0,3.0,1,3.0,1.0,1.0,0.5993888888888889,0.9117018506371491,0.9917677476779257,0.9767916652469556,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650229128,0.9866307190957054,0.9703228683839002,0.8885717498038449,0.9872750708733428,0.9689306695478336,0.8892381562333213,0.9874162843164193,0.9696614118575653,0.9149582382158958,0.9923531096231007,0.97806972589389,0.9675993569130935,0.9987062605288619,0.99661917720851,0.9319222873134513,0.995160965373878,0.9872543896665401,0.9772501772512444,0.8400672706127018,0.054789325962928605,198.0896031350907,8.764469607589982,0.9586036676012778,0.07829698980087618,7.295075640192312,7.294238521755443,5.567917734781897,0.7231870464270881,0.9431819758996308,0.163461597917337,0.17259848859883994,0.9802822022878451,1.0,12.0,0.007172778495269594,0.17676772225743376,0.9247119980425119,0.909658045243576,0.9303475111400422,0.9689573057124202,0.9550273187600791,0.7570697292023292,0.42105795180099953,0.9722343857370138,1.3333333333333333,0.05508314900456509,196.86185207784396,8.812948930737326,-0.21999492947254262,2.984740819983618,0.9471191196211791
A,away_HQ,12.0,6.0,1,3.0,1.0,1.0,0.5993888888888889,0.840051309407427,0.9733372242274084,0.9201642665882233,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650229128,0.9866307190957054,0.9703228683839002,0.8656903393233741,0.9822779282226057,0.9533850841051731,0.869263432952221,0.983105902146984,0.9565595636045888,0.8557082911558913,0.978056538981062,0.9339332529892141,0.9518110002090546,0.9973502326643499,0.9950598933216055,0.887536398615603,0.9874161892411183,0.9733673595636013,0.956077389660878,0.8662201817854469,0.05939207851784751,220.82296870383303,6.993865477735721,0.9745570620987989,0.05971072128542807,7.847704517139172,7.728306223875964,5.567917734781897,0.7231870464270881,1.1284024549804401,0.163461597917337,0.19197632062649775,0.923212190396059,1.0,12.0,0.027933631336730894,0.21378672354081762,0.7645808042051354,0.9066317775090798,0.9216008927662959,0.9533835608337293,0.9766206967900687,0.7310312758327963,0.4209256177508542,0.9766206967900687,2.0,0.05618299773325789,234.57633908539268,7.150660442808506,-0.405215408553352,5.922124372054648,0.8516723518608414
A,away_HQ,12.0,10.0,1,3.0,1.0,1.0,0.5993888888888889,0.7651715536759736,0.9445750067843047,0.8107180084554185,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650229128,0.9866307190957054,0.9703228683839002,0.8434079663261697,0.9761806655727586,0.9367868961652365,0.8538982728041579,0.9790759058896259,0.9464408596212199,0.8126165789838348,0.963576550394538,0.884713295397917,0.9208517714655152,0.9936373147076893,0.9928300423199207,0.8687355024785809,0.9835009319531368,0.9715181712284604,0.9343053958635011,0.8874668119589009,0.07660685051940193,234.86291377376804,5.513448275922708,0.9770947311904332,0.05426640771949365,6.992618069640321,6.781032291175108,5.567917734781897,0.7231870464270881,1.2993713597864163,0.163461597917337,0.23379109356158487,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8979956484486274,0.9098117835856189,0.9367679423013485,0.9816603481589857,0.7065951078380843,0.41990052734189076,0.9816603481589857,2.0,0.06291621756123071,251.5035121908841,6.016802093608695,-0.5761843133593282,9.732600082327913,0.6994015969181748
A,away_HQ,12.0,16.0,1,3.0,1.0,1.0,0.5993888888888889,0.7022849140178642,0.9141887232561664,0.6630296674489712,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650229128,0.9866307190957054,0.9703228683839002,0.8274272711912923,0.9708434593746981,0.9249707485320121,0.8509137126013037,0.9779823791021219,0.9484669821578714,0.8079809943170017,0.9622641545683956,0.8865961140022791,0.8397406970028404,0.97534181763625,0.968750786137582,0.8661181615552375,0.9816413446410075,0.9477333714654431,0.9200921932354381,0.9006715050552008,0.15187691548382953,176.3558693412334,4.408703473937096,0.9557062630761228,0.07176186981565956,4.882064965412494,5.374591204385001,5.567917734781897,0.7231870464270881,1.371136848121848,0.163461597917337,0.3246133583462785,0.5420889402843138,1.0,12.0,0.16657543854452297,0.40409370591687493,0.40452394445654494,0.8852286266842992,0.8973173110624147,0.9249530170315979,0.9759691346301324,0.6855756663780652,0.4081421117029967,0.9759691346301324,2.0,0.08670028548681624,236.43821829689205,5.749698763675087,-0.6479498016947598,15.194467329949674,0.5036356617237969
A,away_HQ,12.0,25.0,1,3.0,1.0,1.0,0.5993888888888889,0.6752106031175241,0.9010953849811427,0.6529925626963741,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650229128,0.9866307190957054,0.9703228683839002,0.7899656656966408,0.9586040217297659,0.8889581071061688,0.8471893359463644,0.9769072325548941,0.9543940343737892,0.873667450131924,0.9833939144461503,0.9518135939082163,0.7335866054125368,0.9320679041638346,0.9206586352350032,0.7860555909943545,0.9584463660036757,0.8479009066369692,0.8747585903161608,0.9297322942423832,0.46856325129973864,48.04304121637145,3.1582518901649723,0.872970204457533,0.11436648753602247,2.6494481154667993,4.694028780995442,5.567917734781897,0.7231870464270881,1.1827891425364083,0.163461597917337,0.4755917571878176,0.20151927818771012,1.0,12.0,0.2904586586233259,0.4903920546298335,0.3333385558885864,0.8708727069884743,0.8764390252634787,0.8889589953088373,0.9227715041994423,0.6648092353922794,0.5134270730677155,0.9227715041994423,2.0,0.09522029608819688,262.22091629188174,5.917078131378951,-0.4596020961093203,22.678227759845925,0.3438213960903061
