axis,regime,D_km,seed,n_truth,n_high,n_displaced,mu_u,rho_u,ceil_seed,ceil_mcar,auc,brier,ess,sp_ALL,D_ALL,sp_FILTER,D_FILTER,sp_IPW_est,D_IPW_est,sp_IPW_oracle,D_IPW_oracle,sp_SMITH_env,D_SMITH_env,sp_ALL_calib,D_ALL_calib
long_range,away_HQ,2.0,1.0,2923.0,1577.6666666666667,9.0,-0.14839215241828985,0.7249897447783568,0.8759938491756439,0.8409728101071131,0.7845611796791702,0.18366742231813238,0.6152525923262668,0.8734601957731473,0.9397940540899029,0.7155021221539105,0.7665717169867275,0.6888212068226091,0.7734732235152127,0.6999176828385529,0.7796246479494519,0.8750782051173803,0.9405438873296408,0.8740284571807683,0.9403956132707308
long_range,away_HQ,10.0,1.0,2923.0,1567.6666666666667,244.33333333333334,-0.31303244276493675,0.4904705256942116,0.8759938491756439,0.8409728101071131,0.7913748130797312,0.18258193148798485,0.48853642996314095,0.8570558122056097,0.8737709170685005,0.7292870836440021,0.770534303628042,0.6976713024372172,0.7714517756823421,0.7023006300752698,0.7837167903014818,0.8594513807871259,0.8866556028192495,0.8533132505440233,0.8878187975587238
long_range,away_HQ,25.0,1.0,2923.0,1561.0,524.3333333333334,-0.42288991668442283,0.41333515194554304,0.8759938491756439,0.8409728101071131,0.8571303253542163,0.14603109499222577,0.5114776682302052,0.8367066806926416,0.8318404393562894,0.722115941537753,0.7625660102042341,0.7012745617121602,0.7686768429079817,0.7067062355863515,0.7784685421959588,0.8225179951668732,0.8497014652770378,0.8307283885018383,0.8714784852404844
long_range,iso,2.0,1.0,2923.0,1577.6666666666667,9.0,-0.04005392469524846,0.9238247414170204,0.8759938491756439,0.8409728101071131,0.7848511289003245,0.18338064525755318,0.6042172970489322,0.8727146562256288,0.9400108631113525,0.7155021221539105,0.7665717169867275,0.6927911194570817,0.7738160973746823,0.6999176828385529,0.7796246479494519,0.8750782051173803,0.9405438873296408,0.8740284571807683,0.9403956132707308
long_range,iso,10.0,1.0,2923.0,1567.6666666666667,244.33333333333334,-0.20336097575958614,0.5561995076105726,0.8759938491756439,0.8409728101071131,0.7839894549523038,0.18677776257349213,0.5812480803916227,0.8551801999813651,0.8723135120934103,0.7292870836440021,0.770534303628042,0.695251944712583,0.7711258562465598,0.7023006300752698,0.7837167903014818,0.8594513807871259,0.8866556028192495,0.8533132505440233,0.8878187975587238
long_range,iso,25.0,1.0,2923.0,1561.0,524.3333333333334,-0.17608499149894097,0.4924557128272909,0.8759938491756439,0.8409728101071131,0.8190506131271169,0.16735702559657004,0.4067200622605647,0.842303698830317,0.8211025868338112,0.722115941537753,0.7625660102042341,0.6962952097639686,0.7725634474649353,0.7067062355863515,0.778468542195959,0.8225179951668732,0.8497014652770378,0.8307283885018383,0.8714784852404844
long_range,toward_HQ,2.0,1.0,2923.0,1577.6666666666667,9.0,0.009527576917413879,0.9354124931770542,0.8759938491756439,0.8409728101071131,0.7842109427669767,0.18390323928570473,0.5984385925985914,0.8726454278536214,0.9398134478702568,0.7155021221539105,0.7665717169867275,0.6862013033368147,0.7723369413572548,0.6999176828385529,0.7796246479494519,0.8750782051173803,0.9405438873296408,0.8740284571807683,0.9403956132707308
long_range,toward_HQ,10.0,1.0,2923.0,1567.6666666666667,244.33333333333334,-0.09330230443209149,0.6565089154932499,0.8759938491756439,0.8409728101071131,0.7749032853722007,0.19131502946806808,0.49901780429433557,0.8559387284548933,0.8841431666187458,0.7292870836440021,0.770534303628042,0.6892166724469191,0.770089844108747,0.7023006300752698,0.7837167903014818,0.8594513807871259,0.8866556028192495,0.8533132505440233,0.8878187975587238
long_range,toward_HQ,25.0,1.0,2923.0,1561.0,524.3333333333334,0.05494711500569893,0.5961785050530845,0.8759938491756439,0.8409728101071131,0.7626045912633334,0.1972336014455771,0.3234880006331176,0.837463727384213,0.8400242683988095,0.722115941537753,0.7625660102042341,0.6925717463166504,0.7578433379261519,0.7067062355863515,0.778468542195959,0.8225179951668732,0.8497014652770378,0.8307283885018383,0.8714784852404844
short_range,away_HQ,2.0,1.0,2923.0,1572.3333333333333,1.3333333333333333,0.4490560329932542,,0.8759938491756439,0.8409728101071131,0.8097248234271026,0.17398878301382584,0.5170836258022263,0.8908622502502109,0.9483253958647069,0.7872662193561157,0.8457795944115133,0.7796715790744889,0.8343947181420633,0.7818977453787918,0.860279504353472,0.8928046122484146,0.949072371196452,0.8908585469428422,0.9488139271049204
